Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01371","Almonds, in shell","2001","2001","ha","11","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01371","Almonds, in shell","2001","2001","kg/ha","1000","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01371","Almonds, in shell","2001","2001","t","11","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01371","Almonds, in shell","2002","2002","ha","11","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01371","Almonds, in shell","2002","2002","kg/ha","1000","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01371","Almonds, in shell","2002","2002","t","11","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01371","Almonds, in shell","2003","2003","ha","11","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01371","Almonds, in shell","2003","2003","kg/ha","1000","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01371","Almonds, in shell","2003","2003","t","11","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01371","Almonds, in shell","2004","2004","ha","11","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01371","Almonds, in shell","2004","2004","kg/ha","1000","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01371","Almonds, in shell","2004","2004","t","11","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01371","Almonds, in shell","2005","2005","ha","11","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01371","Almonds, in shell","2005","2005","kg/ha","1000","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01371","Almonds, in shell","2005","2005","t","11","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01371","Almonds, in shell","2006","2006","ha","11","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01371","Almonds, in shell","2006","2006","kg/ha","1000","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01371","Almonds, in shell","2006","2006","t","11","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01371","Almonds, in shell","2007","2007","ha","11","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01371","Almonds, in shell","2007","2007","kg/ha","1000","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01371","Almonds, in shell","2007","2007","t","11","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01371","Almonds, in shell","2008","2008","ha","11","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01371","Almonds, in shell","2008","2008","kg/ha","1000","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01371","Almonds, in shell","2008","2008","t","11","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01371","Almonds, in shell","2009","2009","ha","11","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01371","Almonds, in shell","2009","2009","kg/ha","818.2","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01371","Almonds, in shell","2009","2009","t","9","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01371","Almonds, in shell","2010","2010","ha","11","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01371","Almonds, in shell","2010","2010","kg/ha","727.3","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01371","Almonds, in shell","2010","2010","t","8","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01371","Almonds, in shell","2011","2011","ha","18","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01371","Almonds, in shell","2011","2011","kg/ha","500","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01371","Almonds, in shell","2011","2011","t","9","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01371","Almonds, in shell","2012","2012","ha","23","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01371","Almonds, in shell","2012","2012","kg/ha","394.4","E","Estimated value",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01371","Almonds, in shell","2012","2012","t","9.14","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01371","Almonds, in shell","2013","2013","ha","13","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01371","Almonds, in shell","2013","2013","kg/ha","691.3","E","Estimated value",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01371","Almonds, in shell","2013","2013","t","9.05","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01371","Almonds, in shell","2014","2014","ha","13","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01371","Almonds, in shell","2014","2014","kg/ha","674.3","E","Estimated value",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01371","Almonds, in shell","2014","2014","t","8.82","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01371","Almonds, in shell","2015","2015","ha","17","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01371","Almonds, in shell","2015","2015","kg/ha","520.6","E","Estimated value",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01371","Almonds, in shell","2015","2015","t","8.83","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01371","Almonds, in shell","2016","2016","ha","14","E","Estimated value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01371","Almonds, in shell","2016","2016","kg/ha","596.9","E","Estimated value",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01371","Almonds, in shell","2016","2016","t","8.58","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01371","Almonds, in shell","2017","2017","ha","14","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01371","Almonds, in shell","2017","2017","kg/ha","583.9","E","Estimated value",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01371","Almonds, in shell","2017","2017","t","8.42","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01371","Almonds, in shell","2018","2018","ha","15","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01371","Almonds, in shell","2018","2018","kg/ha","536.3","E","Estimated value",""
