Area,Item,Year,hg/ha_yield,avg_temp,average_rain_fall_mm_per_year,pesticides_tonnes
Nepal,Maize,1990,16246,13.67,1403.23,60.11
Nepal,Maize,1991,15976,13.55,1146.81,60.11
Nepal,Maize,1992,16647,13.34,1035.01,60.11
Nepal,Maize,1993,15984,13.77,1111.87,60.11
Nepal,Maize,1994,16502,13.86,1148.53,60.11
Nepal,Maize,1995,16447,13.94,1195.98,60.11
Nepal,Maize,1996,16770,13.97,1229.8,70.43
Nepal,Maize,1997,16585,13.1,1427.89,80.75
Nepal,Maize,1998,17112,14.23,1435.64,91.07
Nepal,Maize,1999,16776,14.47,1488.66,101.39
Nepal,Maize,2000,17275,13.99,1399.14,111.72
Nepal,Maize,2001,18000,14.31,1349.06,122.04
Nepal,Maize,2002,18291,14.28,1363.25,132.36
Nepal,Maize,2003,18765,14.2,1356.78,142.68
Nepal,Maize,2004,19059,14.4,1321.7,153
Nepal,Maize,2005,20191,14.26,1078.36,127.99
Nepal,Maize,2006,20382,14.7,1192.26,128.73
Nepal,Maize,2007,20909,14.59,1220.32,344.06
Nepal,Maize,2008,21590,14.19,1369.39,353.43
Nepal,Maize,2009,22054,14.91,1083.91,209.52
Nepal,Maize,2010,21186,14.94,1286.27,332.01
Nepal,Maize,2011,22814,14.21,1656.02,342.92
Nepal,Maize,2012,25011,14.1,1311.58,410.32
Nepal,Maize,2013,23528,13.98,1337.49,454.53
Nepal,Maize,2014,24584,14.06,732.86,549.17
Nepal,Maize,2015,24312,14.08,1300.03,573.97
Nepal,Maize,2016,25029,14.77,1319.75,632.75
Nepal,Maize,2017,25549,14.53,1288.91,691.53
Nepal,Maize,2018,27216,14.26,1290.34,750.31
Nepal,Maize,2019,28199,14.08,1212.42,809.09
Nepal,Maize,2020,29611,13.89,1300.87,681.5
Nepal,Maize,2021,30596,14.29,1365.81,783.14
Nepal,Maize,2022,31519,14.39,1213.61,600
Nepal,Millet,1990,11665,13.67,1403.23,60.11
Nepal,Millet,1991,11535,13.55,1146.81,60.11
Nepal,Millet,1992,11734,13.34,1035.01,60.11
Nepal,Millet,1993,10787,13.77,1111.87,60.11
Nepal,Millet,1994,10697,13.86,1148.53,60.11
Nepal,Millet,1995,9721,13.94,1195.98,60.11
Nepal,Millet,1996,10866,13.97,1229.8,70.43
Nepal,Millet,1997,10846,13.1,1427.89,80.75
Nepal,Millet,1998,10865,14.23,1435.64,91.07
Nepal,Millet,1999,11039,14.47,1488.66,101.39
Nepal,Millet,2000,10246,13.99,1399.14,111.72
Nepal,Millet,2001,10884,14.31,1349.06,122.04
Nepal,Millet,2002,10947,14.28,1363.25,132.36
Nepal,Millet,2003,10916,14.2,1356.78,142.68
Nepal,Millet,2004,10958,14.4,1321.7,153
Nepal,Millet,2005,11198,14.26,1078.36,127.99
Nepal,Millet,2006,11118,14.7,1192.26,128.73
Nepal,Millet,2007,10741,14.59,1220.32,344.06
Nepal,Millet,2008,10964,14.19,1369.39,353.43
Nepal,Millet,2009,11008,14.91,1083.91,209.52
Nepal,Millet,2010,11157,14.94,1286.27,332.01
Nepal,Millet,2011,11218,14.21,1656.02,342.92
Nepal,Millet,2012,11332,14.1,1311.58,410.32
Nepal,Millet,2013,11139,13.98,1337.49,454.53
Nepal,Millet,2014,11214,14.06,732.86,549.17
Nepal,Millet,2015,11509,14.08,1300.03,573.97
Nepal,Millet,2016,11334,14.77,1319.75,632.75
Nepal,Millet,2017,11635,14.53,1288.91,691.53
Nepal,Millet,2018,11916,14.26,1290.34,750.31
Nepal,Millet,2019,11936,14.08,1212.42,809.09
Nepal,Millet,2020,12225,13.89,1300.87,681.5
Nepal,Millet,2021,12300,14.29,1365.81,783.14
Nepal,Millet,2022,12711,14.39,1213.61,600
Nepal,Potatoes,1990,80601,13.67,1403.23,60.11
Nepal,Potatoes,1991,87569,13.55,1146.81,60.11
Nepal,Potatoes,1992,85916,13.34,1035.01,60.11
Nepal,Potatoes,1993,84268,13.77,1111.87,60.11
Nepal,Potatoes,1994,87539,13.86,1148.53,60.11
Nepal,Potatoes,1995,85926,13.94,1195.98,60.11
Nepal,Potatoes,1996,84750,13.97,1229.8,70.43
Nepal,Potatoes,1997,89820,13.1,1427.89,80.75
Nepal,Potatoes,1998,84664,14.23,1435.64,91.07
Nepal,Potatoes,1999,92599,14.47,1488.66,101.39
Nepal,Potatoes,2000,96436,13.99,1399.14,111.72
Nepal,Potatoes,2001,101824,14.31,1349.06,122.04
Nepal,Potatoes,2002,109018,14.28,1363.25,132.36
Nepal,Potatoes,2003,109246,14.2,1356.78,142.68
Nepal,Potatoes,2004,114898,14.4,1321.7,153
Nepal,Potatoes,2005,118458,14.26,1078.36,127.99
Nepal,Potatoes,2006,130896,14.7,1192.26,128.73
Nepal,Potatoes,2007,126568,14.59,1220.32,344.06
Nepal,Potatoes,2008,131100,14.19,1369.39,353.43
Nepal,Potatoes,2009,133263,14.91,1083.91,209.52
Nepal,Potatoes,2010,135841,14.94,1286.27,332.01
Nepal,Potatoes,2011,137352,14.21,1656.02,342.92
Nepal,Potatoes,2012,135837,14.1,1311.58,410.32
Nepal,Potatoes,2013,136408,13.98,1337.49,454.53
Nepal,Potatoes,2014,136955,14.06,732.86,549.17
Nepal,Potatoes,2015,131259,14.08,1300.03,573.97
Nepal,Potatoes,2016,140299,14.77,1319.75,632.75
Nepal,Potatoes,2017,138631,14.53,1288.91,691.53
Nepal,Potatoes,2018,158142,14.26,1290.34,750.31
Nepal,Potatoes,2019,160464,14.08,1212.42,809.09
Nepal,Potatoes,2020,166500,13.89,1300.87,681.5
Nepal,Potatoes,2021,167275,14.29,1365.81,783.14
Nepal,Potatoes,2022,172044,14.39,1213.61,600
Nepal,Rice,1990,24067,13.67,1403.23,60.11
Nepal,Rice,1991,20481,13.55,1146.81,60.11
Nepal,Rice,1992,24100,13.34,1035.01,60.11
Nepal,Rice,1993,21237,13.77,1111.87,60.11
Nepal,Rice,1994,23910,13.86,1148.53,60.11
Nepal,Rice,1995,24554,13.94,1195.98,60.11
Nepal,Rice,1996,24170,13.97,1229.8,70.43
Nepal,Rice,1997,24434,13.1,1427.89,80.75
Nepal,Rice,1998,24722,14.23,1435.64,91.07
Nepal,Rice,1999,27028,14.47,1488.66,101.39
Nepal,Rice,2000,27454,13.99,1399.14,111.72
Nepal,Rice,2001,26754,14.31,1349.06,122.04
Nepal,Rice,2002,26753,14.28,1363.25,132.36
Nepal,Rice,2003,28573,14.2,1356.78,142.68
Nepal,Rice,2004,27825,14.4,1321.7,153
Nepal,Rice,2005,27166,14.26,1078.36,127.99
Nepal,Rice,2006,25570,14.7,1192.26,128.73
Nepal,Rice,2007,27750,14.59,1220.32,344.06
Nepal,Rice,2008,29074,14.19,1369.39,353.43
Nepal,Rice,2009,27164,14.91,1083.91,209.52
Nepal,Rice,2010,29805,14.94,1286.27,332.01
Nepal,Rice,2011,33120,14.21,1656.02,342.92
Nepal,Rice,2012,31709,14.1,1311.58,410.32
Nepal,Rice,2013,33942,13.98,1337.49,454.53
Nepal,Rice,2014,33596,14.06,732.86,549.17
Nepal,Rice,2015,31543,14.08,1300.03,573.97
Nepal,Rice,2016,33690,14.77,1319.75,632.75
Nepal,Rice,2017,35058,14.53,1288.91,691.53
Nepal,Rice,2018,37607,14.26,1290.34,750.31
Nepal,Rice,2019,38048,14.08,1212.42,809.09
Nepal,Rice,2020,38153,13.89,1300.87,681.5
Nepal,Rice,2021,34728,14.29,1365.81,783.14
Nepal,Rice,2022,37869,14.39,1213.61,600
Nepal,Soya beans,1990,6215,13.67,1403.23,60.11
Nepal,Soya beans,1991,5964,13.55,1146.81,60.11
Nepal,Soya beans,1992,5805,13.34,1035.01,60.11
Nepal,Soya beans,1993,5811,13.77,1111.87,60.11
Nepal,Soya beans,1994,5855,13.86,1148.53,60.11
Nepal,Soya beans,1995,6540,13.94,1195.98,60.11
Nepal,Soya beans,1996,6601,13.97,1229.8,70.43
Nepal,Soya beans,1997,6873,13.1,1427.89,80.75
Nepal,Soya beans,1998,7311,14.23,1435.64,91.07
Nepal,Soya beans,1999,7732,14.47,1488.66,101.39
Nepal,Soya beans,2000,8492,13.99,1399.14,111.72
Nepal,Soya beans,2001,8430,14.31,1349.06,122.04
Nepal,Soya beans,2002,8595,14.28,1363.25,132.36
Nepal,Soya beans,2003,8709,14.2,1356.78,142.68
Nepal,Soya beans,2004,8772,14.4,1321.7,153
Nepal,Soya beans,2005,8786,14.26,1078.36,127.99
Nepal,Soya beans,2006,8909,14.7,1192.26,128.73
Nepal,Soya beans,2007,9029,14.59,1220.32,344.06
Nepal,Soya beans,2008,9048,14.19,1369.39,353.43
Nepal,Soya beans,2009,9139,14.91,1083.91,209.52
Nepal,Soya beans,2010,9206,14.94,1286.27,332.01
Nepal,Soya beans,2011,9659,14.21,1656.02,342.92
Nepal,Soya beans,2012,9654,14.1,1311.58,410.32
Nepal,Soya beans,2013,11719,13.98,1337.49,454.53
Nepal,Soya beans,2014,11886,14.06,732.86,549.17
Nepal,Soya beans,2015,12006,14.08,1300.03,573.97
Nepal,Soya beans,2016,12333,14.77,1319.75,632.75
Nepal,Soya beans,2017,12333,14.53,1288.91,691.53
Nepal,Soya beans,2018,12641,14.26,1290.34,750.31
Nepal,Soya beans,2019,12537,14.08,1212.42,809.09
Nepal,Soya beans,2020,12902,13.89,1300.87,681.5
Nepal,Soya beans,2021,13308,14.29,1365.81,783.14
Nepal,Soya beans,2022,14100,14.39,1213.61,600
Nepal,Wheat,1990,14149,13.67,1403.23,60.11
Nepal,Wheat,1991,14103,13.55,1146.81,60.11
Nepal,Wheat,1992,13338,13.34,1035.01,60.11
Nepal,Wheat,1993,12460,13.77,1111.87,60.11
Nepal,Wheat,1994,14704,13.86,1148.53,60.11
Nepal,Wheat,1995,14416,13.94,1195.98,60.11
Nepal,Wheat,1996,15500,13.97,1229.8,70.43
Nepal,Wheat,1997,16072,13.1,1427.89,80.75
Nepal,Wheat,1998,15463,14.23,1435.64,91.07
Nepal,Wheat,1999,16955,14.47,1488.66,101.39
Nepal,Wheat,2000,17931,13.99,1399.14,111.72
Nepal,Wheat,2001,18063,14.31,1349.06,122.04
Nepal,Wheat,2002,18859,14.28,1363.25,132.36
Nepal,Wheat,2003,20092,14.2,1356.78,142.68
Nepal,Wheat,2004,20873,14.4,1321.7,153
Nepal,Wheat,2005,21344,14.26,1078.36,127.99
Nepal,Wheat,2006,20745,14.7,1192.26,128.73
Nepal,Wheat,2007,21563,14.59,1220.32,344.06
Nepal,Wheat,2008,22252,14.19,1369.39,353.43
Nepal,Wheat,2009,19338,14.91,1083.91,209.52
Nepal,Wheat,2010,21289,14.94,1286.27,332.01
Nepal,Wheat,2011,22747,14.21,1656.02,342.92
Nepal,Wheat,2012,24123,14.1,1311.58,410.32
Nepal,Wheat,2013,22902,13.98,1337.49,454.53
