YEAR,MO,DY,T2M,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,LAT,LON
1982,1,1,11.54,3.64,7.57,-259.74,19.96,6.55,3.17,34.44,0,87.9,1.84,3.98,0.38,3.61,2.09,3.95,0.47,3.48,29.11,81.3
1982,1,2,12.14,4.04,8.43,-257.41,21.64,5.89,3.23,33.88,0,87.72,2.15,3.77,0.23,3.53,2.49,3.74,0.24,3.5,29.11,81.3
1982,1,3,12.51,4.49,9.12,-259.24,21.05,7.13,3.42,34.44,0.01,87.79,1.96,3.96,0.33,3.63,2.27,4.02,0.38,3.64,29.11,81.3
1982,1,4,13.36,6.81,11.57,-261.62,20.3,8.76,4.58,43.94,0.27,88.07,1.71,3.61,0.66,2.95,2.11,3.66,0.88,2.77,29.11,81.3
1982,1,5,12.36,8.98,11.44,-261.67,19.05,7.56,6.47,65.56,0.43,88.11,2,3.59,0.97,2.62,2.69,4.05,1.09,2.95,29.11,81.3
1982,1,6,12.1,6.66,9.37,-260.42,19.73,6.99,4.82,50.19,0.03,88.04,1.88,4.25,0.37,3.88,2.07,4.03,0.49,3.54,29.11,81.3
1982,1,7,11.9,5.07,8.4,-261.63,19.44,7.93,3.91,40.88,0,88.1,1.67,3.98,0.24,3.75,1.8,3.77,0.16,3.6,29.11,81.3
1982,1,8,12.26,5.45,8.9,-261.61,19.09,7.55,3.97,40.31,0.08,88.22,1.71,3.89,0.48,3.41,1.87,3.65,0.6,3.05,29.11,81.3
1982,1,9,12.15,6.11,8.71,-263.67,17.64,8.16,4.46,44.69,3.9,88.07,1.7,3.66,0.17,3.49,1.95,3.64,0.23,3.41,29.11,81.3
1982,1,10,8.86,5.56,7.83,-267.25,11.66,5.77,5.19,64.69,0.31,87.92,1.55,2.91,0.14,2.77,2.35,4.95,0.23,4.73,29.11,81.3
1982,1,11,11.22,6.93,10.01,-259.74,18.51,5.1,5.25,58.44,0,87.88,1.91,3.08,0.7,2.38,2.34,3.47,0.88,2.6,29.11,81.3
1982,1,12,11.24,6.12,8.8,-260.93,18.58,6.36,4.7,51.25,0,87.97,1.89,4.18,0.3,3.88,2.11,4.08,0.38,3.7,29.11,81.3
1982,1,13,10.71,5.17,7.98,-261.4,17.68,5.94,4.27,47.94,0,88.03,1.86,3.7,0.44,3.27,2.04,3.59,0.55,3.05,29.11,81.3
1982,1,14,10.64,3.44,8.48,-258.28,19.24,4.38,3.36,39.12,0,87.96,2.08,4.01,0.18,3.83,2.36,3.89,0.25,3.65,29.11,81.3
