YEAR,MO,DY,T2M,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,LAT,LON
1982,1,1,5.05,-2.96,1.44,-258.77,13.9,-0.48,2.14,30.56,0,75.36,2.52,4.57,1.06,3.51,2.67,4.24,1.27,2.98,29.56,81.56
1982,1,2,4.49,-3.01,1.48,-257.26,13.61,-2.28,2.2,33.69,0,75.28,2.7,4.66,0.83,3.84,2.83,4.23,0.97,3.27,29.56,81.56
1982,1,3,5.31,-2.78,2.68,-258.01,13.91,-1.22,2.2,31.31,0,75.28,2.29,3.96,0.62,3.35,2.41,3.48,0.77,2.72,29.56,81.56
1982,1,4,4.91,-0.17,3.98,-262.02,11.83,0.71,3.66,53.12,0.24,75.48,2.05,5.69,0.16,5.52,2.2,5.52,0.24,5.27,29.56,81.56
1982,1,5,3.63,0.93,3.19,-262.19,10.3,-0.67,4.52,71.25,0.17,75.47,2.23,4.48,0.5,3.98,2.38,3.97,0.6,3.37,29.56,81.56
1982,1,6,3.86,-2.56,1.51,-256.95,13.1,-3.1,2.62,41.69,0.06,75.44,2.3,4.16,0.43,3.73,2.3,3.6,0.52,3.09,29.56,81.56
1982,1,7,5.23,-2.66,2.03,-256.67,15.05,-1.43,2.26,32.38,0.02,75.49,2.3,4.27,0.7,3.58,2.27,3.57,0.64,2.93,29.56,81.56
1982,1,8,5.88,-1.69,2.74,-259.85,14.12,0.82,2.5,34.12,0.07,75.57,2.16,4.27,0.17,4.09,2.16,3.52,0.16,3.36,29.56,81.56
1982,1,9,4.96,-1.24,2.46,-263.32,11.43,1.6,2.99,42.38,3.9,75.43,1.97,4.06,0.38,3.69,2.07,3.49,0.47,3.02,29.56,81.56
1982,1,10,0.81,-1.35,0.7,-267.38,3.62,-2.17,3.97,75.06,0.55,75.24,1.58,2.73,0.48,2.26,2.06,4.31,0.48,3.84,29.56,81.56
1982,1,11,2.08,-0.54,1.35,-261.64,8.69,-2.82,4.09,72.88,0,75.22,1.92,4,0.33,3.67,1.93,3.27,0.38,2.9,29.56,81.56
1982,1,12,2.75,-1.77,0.8,-260.71,10.5,-1.95,3.23,55.62,0,75.28,2.23,4.88,0.09,4.79,2.17,4.15,0.12,4.03,29.56,81.56
1982,1,13,2.13,-3.02,0.32,-259.56,10.03,-3.56,2.75,50,0,75.33,2.29,4.03,0.49,3.54,2.3,3.45,0.59,2.86,29.56,81.56
1982,1,14,2.54,-4.88,1.04,-255.87,12.06,-5.22,1.95,36.56,0,75.32,2.58,4.54,0.66,3.88,2.66,3.98,0.8,3.18,29.56,81.56
1982,1,15,3.69,-4.91,0.67,-257.87,12.64,-2.63,1.71,28.38,0,75.28,2.39,4.57,0.35,4.21,2.44,4.09,0.42,3.66,29.56,81.56
1982,1,16,3.57,-5.16,0.33,-257.48,12.69,-2.99,1.65,27.06,0,75.28,2.52,4.97,0.68,4.3,2.55,4.4,0.8,3.6,29.56,81.56
1982,1,17,3.67,-4.4,0.37,-261.01,11.45,-0.69,1.89,29.88,0,75.26,2.17,4.52,0.32,4.2,2.11,3.73,0.37,3.36,29.56,81.56
1982,1,18,4.18,-3.35,1.73,-258.88,12.8,-1.48,2.14,33.12,0,75.42,2.28,4.98,0.55,4.43,2.26,4.24,0.66,3.58,29.56,81.56
1982,1,19,3.99,-3.07,0.85,-260.57,11.06,-1.52,2.26,35.19,0,75.38,2.11,4.7,0.51,4.2,2.06,3.95,0.66,3.29,29.56,81.56
1982,1,20,3.59,-4.5,0.84,-258.24,12.75,-2.17,1.83,30.75,0,75.3,2.38,4.25,0.66,3.59,2.43,3.72,0.76,2.96,29.56,81.56
1982,1,21,2.37,-5.26,-0.22,-260.52,9.84,-2.79,1.77,32.31,0,75.36,2.23,4.45,0.18,4.27,2.27,3.79,0.23,3.57,29.56,81.56
1982,1,22,1.37,-3.95,-0.1,-260.8,8.44,-3.92,2.5,46.06,0,75.32,2.1,4.27,0.49,3.79,2.18,3.89,0.63,3.25,29.56,81.56
1982,1,23,0.71,-1.8,0.5,-262.99,6.9,-3.25,3.72,73.5,0,75.36,1.91,4.4,0.67,3.73,2.09,4.23,0.78,3.45,29.56,81.56
1982,1,24,0.28,-1.88,0.25,-267.04,4.02,-2.09,3.78,75.81,0.1,75.64,1.64,1.96,1.16,0.8,2.15,3.02,1.51,1.52,29.56,81.56
1982,1,25,0.56,-0.66,0.43,-264.33,6.71,-2.1,4.46,86.5,8.85,75.67,1.74,3.21,0.47,2.74,2.12,3.27,0.64,2.62,29.56,81.56
1982,1,26,-1.07,-1.5,-2.22,-269.33,1.08,-2.74,4.46,96.19,18.3,75.59,1.17,1.88,0.34,1.54,1.52,2.67,0.24,2.42,29.56,81.56
1982,1,27,-1.96,-3.04,-5.19,-264.97,2.38,-5.81,3.78,88.75,3.98,75.56,1.45,2.46,0.28,2.18,1.59,2.36,0.37,1.99,29.56,81.56
1982,1,28,-1.79,-5.17,-3.81,-257.31,5.85,-9.99,2.69,64.31,0.01,75.45,2.63,4.85,0.74,4.11,2.84,5.11,0.92,4.19,29.56,81.56
1982,1,29,0.44,-3.65,-1.22,-258.81,8.02,-6.32,2.81,57.5,0,75.56,2.13,3.4,0.81,2.59,2.33,3.08,0.84,2.23,29.56,81.56
1982,1,30,2.12,-3.26,0.49,-258.67,9.55,-4.93,2.69,46.88,0.74,75.46,2.36,3.62,0.45,3.17,2.55,4.27,0.59,3.67,29.56,81.56
1982,1,31,0.05,-1.38,-1.31,-264.84,4.83,-3.49,4.15,83.62,15.61,75.44,1.73,2.62,0.62,2.01,1.96,2.89,0.43,2.46,29.56,81.56
1982,2,1,-0.45,-1.82,-2.32,-264.71,4.44,-4,4.15,84.81,4.51,75.28,1.94,2.92,0.11,2.81,2.03,2.72,0.09,2.63,29.56,81.56
1982,2,2,0.98,-3.01,-0.9,-258.25,8.58,-6.32,3.17,59.31,0,75.13,2.2,3.69,0.62,3.06,2.29,3.33,0.59,2.74,29.56,81.56
1982,2,3,0.47,-1.75,-0.57,-265.72,4.65,-2.78,3.85,74.62,0.47,75.1,1.73,4.05,0.45,3.61,1.79,3.67,0.52,3.16,29.56,81.56
1982,2,4,-0.05,-2.47,-0.9,-262.87,6.15,-4.13,3.6,75.56,0.03,75.1,1.89,4.46,0.49,3.97,1.93,4.06,0.62,3.45,29.56,81.56
1982,2,5,-0.91,-5.05,-2.07,-259.24,6.68,-7.24,2.62,61.31,0,75.03,2.08,3.53,0.71,2.82,2.19,3.44,0.91,2.52,29.56,81.56
1982,2,6,-0.37,-6.7,-2.06,-255.3,9.56,-8.29,1.83,40.81,0,74.93,2.9,4.97,0.84,4.13,3.13,4.96,0.79,4.16,29.56,81.56
1982,2,7,0.06,-5.07,-1.86,-261.66,6.52,-4.97,2.38,47.69,0,74.89,2.22,4.38,0.41,3.96,2.32,4.05,0.5,3.55,29.56,81.56
1982,2,8,-0.52,-4.45,-2.22,-263.03,5.4,-4.72,2.69,58.12,0,74.83,2.42,6.52,0.27,6.23,2.55,6.3,0.37,5.94,29.56,81.56
1982,2,9,2.66,-3.99,0.25,-256.24,11.98,-4.94,2.26,40.12,0,74.98,2.27,5.08,0.29,4.79,2.31,4.58,0.41,4.16,29.56,81.56
1982,2,10,3.13,-2.45,1.33,-259.43,11.39,-2.33,2.81,45.06,0.01,75.16,2.09,4.14,0.59,3.55,2.08,3.52,0.7,2.82,29.56,81.56
1982,2,11,1.92,0.47,2.35,-263.97,7.46,-1.72,4.82,83.19,0.27,75.1,2.16,5.88,0.62,5.25,2.27,5.33,0.71,4.62,29.56,81.56
1982,2,12,1.38,-1.17,0.83,-259.49,9,-4.67,4.03,75.75,0.47,74.98,2.69,5.35,0.66,4.7,2.88,5.09,0.88,4.22,29.56,81.56
1982,2,13,1.35,-3.6,0.44,-256.33,10.27,-6.55,2.69,52.88,0,75.17,2.71,4.44,0.28,4.16,2.84,4.28,0.36,3.92,29.56,81.56
1982,2,14,2.51,-3.99,1.18,-253.85,12.78,-6.52,2.32,41.44,0,75.21,2.88,5.28,0.76,4.52,3.06,5.09,0.77,4.32,29.56,81.56
1982,2,15,5.37,-1.33,3.9,-260.7,13.25,0.8,2.81,39.69,0.28,75.13,2.19,4.63,0.47,4.16,2.22,3.92,0.64,3.28,29.56,81.56
1982,2,16,-0.51,-1.86,-2.38,-266.02,2.41,-4.71,4.09,84.25,16.21,75.08,1.34,2.42,0.3,2.12,1.52,2.73,0.3,2.42,29.56,81.56
1982,2,17,-1.2,-3.85,-2.55,-260.04,6.1,-7.01,3.17,73,0.36,75.05,1.91,2.91,0.71,2.2,2.2,3.41,0.8,2.6,29.56,81.56
