YEAR,MO,DY,T2M,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,LAT,LON
1982,1,1,12.35,6.32,9.66,-262.74,19.31,8.9,4.27,45,0,91.33,1.97,4.94,0.08,4.87,2.27,4.96,0.16,4.8,27.18,87.07
1982,1,2,12.01,5.7,9.41,-261.77,18.73,7.35,4.03,43.38,0,91.18,1.88,4.88,0.34,4.54,2.02,4.45,0.41,4.03,27.18,87.07
1982,1,3,12.8,6.24,10.02,-261.51,19.51,7.87,4.15,41.81,0.06,91.21,1.66,4.24,0.15,4.09,1.81,3.76,0.16,3.59,27.18,87.07
1982,1,4,14.73,8.08,12.08,-262.6,21.3,10.73,4.7,41.81,0.06,91.42,1.74,4.51,0.22,4.3,1.95,4.31,0.17,4.13,27.18,87.07
1982,1,5,15.12,8.93,12.83,-261,22.44,10.28,5.19,45.38,0,91.36,1.91,5.5,0.11,5.39,2.31,5.91,0.13,5.77,27.18,87.07
1982,1,6,15.32,9.27,13.26,-261.14,22.66,10.65,5.37,45.81,0,91.41,2.29,5.3,0.55,4.74,2.73,5.49,0.71,4.79,27.18,87.07
1982,1,7,14.69,8.02,12.5,-262.68,21.4,10.92,4.64,41.56,0,91.5,2.09,5.02,0.41,4.6,2.35,4.8,0.36,4.45,27.18,87.07
1982,1,8,14.78,7.52,11.64,-262.61,21.31,10.76,4.27,38.06,0,91.57,1.85,4.62,0.45,4.16,2.02,4.41,0.52,3.89,27.18,87.07
1982,1,9,14.98,7.71,11.59,-262.85,21.37,11.08,4.33,38.06,0,91.43,1.67,4.23,0.54,3.69,1.78,3.84,0.68,3.15,27.18,87.07
1982,1,10,14.59,7.49,11.88,-262.93,20.65,10.44,4.33,39.06,0.22,91.27,1.98,4.17,0.47,3.7,2.2,3.8,0.77,3.03,27.18,87.07
1982,1,11,14.65,8.34,12.7,-262.44,21.4,10.7,4.94,44.81,0.61,91.24,2.26,4.44,0.58,3.87,2.65,4.47,0.62,3.84,27.18,87.07
1982,1,12,14.3,8.19,12.11,-262.54,21.19,10.58,4.94,45.62,0,91.29,2.46,5.45,0.7,4.76,2.87,5.62,0.84,4.77,27.18,87.07
1982,1,13,13.76,7.35,11.22,-262.76,20.3,9.91,4.52,43.25,0,91.36,2.26,5.98,0.31,5.66,2.54,5.95,0.4,5.54,27.18,87.07
1982,1,14,13.21,6.23,11.01,-261.08,20.19,8.12,4.03,40,0,91.31,1.98,4.64,0.48,4.16,2.14,4.53,0.57,3.96,27.18,87.07
1982,1,15,13.57,6.4,11.24,-262.17,20.15,9.18,3.97,38.56,0,91.27,1.96,4.81,0.3,4.5,2.13,4.52,0.39,4.12,27.18,87.07
