Temperature,Humidity,Moisture,Soil_Type,Crop_Type,Nitrogen,Potassium,Phosphorous,Fertilizer_Name
31.98,65.5,35.63,Sandy,Potato,18.4,20.79,17.08,DAP
25.42,57.83,20.56,Clay,Mustard,71.57,52.05,47.3,Compost
30.62,58.43,46.97,Loamy,Wheat,63.64,32.9,37.15,Compost
24.79,51.6,43.06,Clay,Wheat,57.91,41.21,27.63,Compost
30.65,53.54,51.67,Silt,Soybean,51.28,52.25,33.96,Compost
37.73,59.65,34.88,Sandy,Soybean,18.28,4.35,26.62,MOP
32.86,55.38,52.91,Clay,Maize,55.24,39.41,43.56,Compost
26.66,61.26,44.14,Clay,Wheat,72.58,42.43,41.25,Compost
31.45,66.3,46.35,Silt,Maize,46.95,31.7,49.07,Compost
28.07,63.22,38.13,Silt,Vegetables,40.0,42.43,41.56,Urea
28.12,62.8,28.03,Silt,Chickpea,33.38,22.1,39.38,Urea
29.52,53.87,40.38,Silt,Soybean,51.0,46.82,29.11,Compost
25.77,58.72,33.69,Clay,Vegetables,51.48,46.27,51.02,Compost
29.05,60.29,34.82,Clay,Rice,61.28,38.59,58.07,Compost
25.71,45.93,44.86,Clay,Wheat,71.76,51.03,28.1,Compost
33.69,61.5,58.79,Silt,Vegetables,58.13,43.22,48.11,Compost
29.76,72.95,42.8,Alluvial,Soybean,40.39,53.69,57.48,Compost
31.81,53.27,36.91,Alluvial,Vegetables,54.7,62.08,33.65,Compost
30.41,68.47,28.24,Clay,Mustard,45.12,37.6,55.54,Compost
27.38,51.17,30.63,Clay,Rice,56.53,44.89,35.19,Compost
32.18,48.21,64.1,Silt,Soybean,47.63,43.15,40.73,Compost
28.26,56.88,44.82,Alluvial,Maize,55.91,47.29,54.96,Compost
29.42,65.79,32.9,Alluvial,Soybean,68.97,66.66,62.54,Compost
28.71,66.31,52.2,Sandy,Lentil,24.61,14.91,15.79,NPK 20-20-20
30.67,63.67,38.36,Loamy,Wheat,37.63,44.03,43.59,Urea
32.46,61.99,28.82,Clay,Rice,67.69,38.19,31.23,Compost
33.63,62.5,53.21,Alluvial,Soybean,61.21,52.82,58.22,Compost
34.57,71.59,43.14,Clay,Lentil,69.04,52.0,30.65,Compost
25.54,55.73,39.04,Sandy,Potato,38.96,15.51,13.91,NPK 20-20-20
29.27,55.44,46.89,Clay,Wheat,74.51,66.59,50.9,Compost
30.88,58.71,44.85,Sandy,Soybean,31.21,0.0,10.05,NPK 20-20-20
33.02,62.29,57.79,Alluvial,Soybean,53.69,50.41,45.9,Compost
28.65,61.97,68.84,Clay,Wheat,59.33,53.31,60.29,Compost
36.23,59.92,37.48,Silt,Wheat,37.66,38.25,46.73,Urea
33.59,63.63,51.61,Alluvial,Chickpea,62.14,52.17,63.37,Compost
28.18,53.44,49.9,Loamy,Maize,63.55,46.44,37.76,Compost
27.53,59.78,42.12,Clay,Wheat,59.97,53.36,41.7,Compost
29.53,63.23,40.64,Loamy,Mustard,56.33,43.38,28.4,Compost
32.59,68.38,41.92,Sandy,Rice,24.11,10.42,16.76,NPK 20-20-20
33.61,58.52,22.74,Alluvial,Chickpea,94.91,62.76,46.14,Compost
28.49,64.74,40.91,Silt,Maize,52.19,44.86,35.06,Compost
33.84,65.35,72.03,Silt,Mustard,56.5,41.08,28.36,Compost
27.46,61.44,18.23,Silt,Soybean,24.13,30.53,35.98,Urea
30.81,56.82,26.14,Sandy,Lentil,11.67,10.76,14.89,NPK 20-20-20
34.94,65.27,40.87,Sandy,Lentil,18.88,19.12,13.24,NPK 20-20-20
28.73,58.64,42.94,Clay,Maize,66.03,36.88,39.69,Compost
39.83,64.96,45.04,Clay,Lentil,58.59,32.53,39.29,Compost
28.62,56.76,37.76,Loamy,Lentil,54.99,28.57,41.23,Compost
23.7,51.68,49.01,Silt,Chickpea,58.0,25.53,42.95,Compost
31.88,64.22,56.21,Alluvial,Vegetables,59.74,60.79,46.64,Compost
27.76,48.95,61.71,Clay,Mustard,45.38,39.47,38.14,Compost
32.56,54.88,55.65,Sandy,Soybean,25.41,12.22,21.42,MOP
29.33,68.25,14.94,Loamy,Vegetables,63.47,37.58,28.22,Compost
33.07,64.99,60.99,Silt,Chickpea,37.04,36.54,40.13,Urea
33.62,63.67,31.33,Clay,Maize,56.26,37.5,53.89,Compost
28.12,56.18,23.35,Clay,Lentil,55.25,47.69,41.38,Compost
31.7,64.81,41.51,Sandy,Lentil,34.1,17.36,10.28,NPK 20-20-20
35.81,50.39,44.6,Loamy,Potato,69.77,47.28,61.27,Compost
26.2,65.14,38.15,Alluvial,Vegetables,47.88,40.53,37.71,Compost
28.8,61.73,54.81,Silt,Mustard,39.99,55.04,37.43,Urea
32.28,52.95,68.47,Clay,Lentil,61.15,47.32,48.57,Compost
31.84,52.99,41.25,Alluvial,Chickpea,60.0,51.76,48.32,Compost
25.94,58.3,42.68,Sandy,Chickpea,17.97,14.8,23.09,MOP
28.1,54.36,49.62,Loamy,Chickpea,83.26,74.06,49.97,Compost
32.71,56.58,41.14,Loamy,Rice,36.12,35.5,40.17,Urea
34.08,66.43,38.11,Sandy,Rice,23.07,24.37,23.83,Urea
28.81,70.06,57.45,Sandy,Mustard,14.67,7.86,14.44,NPK 20-20-20
31.3,63.15,38.29,Loamy,Chickpea,85.0,23.71,34.35,Compost
29.0,56.3,44.79,Alluvial,Potato,65.08,51.57,46.61,Compost
30.95,57.85,50.13,Loamy,Rice,61.51,39.38,49.07,Compost
29.41,62.26,31.22,Clay,Chickpea,59.28,46.97,39.11,Compost
29.25,63.88,46.27,Loamy,Wheat,54.82,40.22,47.47,Compost
34.49,63.06,54.79,Silt,Mustard,34.02,50.28,42.2,Urea
31.22,63.76,37.4,Loamy,Soybean,75.78,49.27,39.1,Compost
32.85,62.05,36.36,Loamy,Maize,42.72,37.12,32.39,Compost
33.64,58.15,59.05,Silt,Maize,58.64,42.71,35.66,Compost
32.74,54.35,44.58,Alluvial,Potato,63.7,50.83,54.08,Compost
35.49,52.08,32.32,Loamy,Mustard,57.57,35.02,23.56,Compost
36.81,59.13,43.21,Clay,Potato,48.44,62.81,60.52,Compost
35.28,57.31,44.05,Silt,Potato,29.77,52.02,30.49,Urea
30.21,56.25,30.06,Alluvial,Potato,71.28,29.55,51.39,Compost
29.01,66.89,43.0,Alluvial,Lentil,97.3,57.3,39.48,Compost
38.02,70.96,56.81,Clay,Rice,64.4,51.37,36.38,Compost
26.02,59.99,51.71,Alluvial,Mustard,54.21,72.79,52.86,Compost
28.27,57.65,45.6,Loamy,Mustard,63.46,48.78,44.14,Compost
26.46,62.45,59.92,Silt,Lentil,62.09,23.19,37.19,Compost
29.11,59.4,48.1,Silt,Maize,56.33,45.49,45.27,Compost
27.97,51.94,38.53,Silt,Soybean,34.94,38.85,33.01,Urea
39.97,57.69,45.49,Sandy,Mustard,30.64,24.19,15.51,DAP
29.74,57.4,51.33,Alluvial,Soybean,71.23,51.3,52.63,Compost
26.7,49.2,40.19,Loamy,Chickpea,57.75,39.52,31.64,Compost
27.59,62.16,28.62,Sandy,Soybean,22.68,10.25,9.15,NPK 20-20-20
28.39,69.24,45.47,Silt,Mustard,56.9,53.29,26.44,Compost
32.56,66.11,46.43,Silt,Lentil,42.21,33.92,44.98,Compost
35.85,64.32,26.29,Clay,Rice,66.24,49.93,48.58,Compost
28.28,49.48,41.63,Clay,Lentil,49.81,39.57,51.72,Compost
23.52,48.1,47.34,Sandy,Soybean,31.67,12.19,14.22,NPK 20-20-20
30.78,52.9,45.21,Loamy,Vegetables,41.9,50.07,44.66,Compost
31.8,58.83,45.55,Sandy,Wheat,33.37,18.33,32.55,MOP
23.19,55.19,52.78,Silt,Lentil,54.37,37.86,46.81,Compost
30.02,54.74,55.79,Loamy,Chickpea,54.46,33.54,40.73,Compost
35.72,63.59,24.43,Sandy,Maize,17.15,14.72,0.0,NPK 20-20-20
28.36,69.11,17.4,Loamy,Lentil,44.3,60.45,59.4,Compost
28.04,56.16,56.58,Clay,Soybean,65.11,43.87,45.69,Compost
40.15,51.55,39.71,Clay,Mustard,54.0,35.54,41.69,Compost
32.56,43.8,34.92,Alluvial,Vegetables,58.14,55.2,44.66,Compost
36.85,58.44,62.68,Loamy,Rice,57.57,70.86,46.9,Compost
29.0,55.43,26.99,Silt,Vegetables,42.26,29.8,38.21,Compost
24.03,58.51,50.06,Clay,Vegetables,43.61,48.34,53.2,Compost
28.89,56.03,19.16,Clay,Chickpea,67.02,57.09,54.42,Compost
29.82,53.22,64.91,Sandy,Vegetables,15.74,16.49,13.34,NPK 20-20-20
27.81,73.41,51.69,Alluvial,Lentil,47.23,49.1,48.65,Compost
31.81,61.21,41.43,Loamy,Wheat,62.29,30.49,38.93,Compost
29.51,54.88,44.47,Alluvial,Soybean,46.39,49.66,48.68,Compost
25.94,63.11,31.04,Silt,Chickpea,59.61,40.76,37.98,Compost
32.57,49.72,47.01,Loamy,Potato,56.68,50.92,51.08,Compost
31.79,67.58,33.05,Clay,Maize,61.32,53.33,35.07,Compost
25.96,52.18,44.54,Clay,Vegetables,59.38,43.08,45.13,Compost
31.55,51.34,45.38,Alluvial,Mustard,69.47,60.9,38.45,Compost
30.19,69.83,59.14,Loamy,Mustard,61.06,42.67,45.7,Compost
29.87,52.35,42.3,Sandy,Vegetables,25.61,1.13,16.47,NPK 20-20-20
31.15,60.19,47.88,Alluvial,Vegetables,83.76,49.27,50.84,Compost
31.75,64.09,53.71,Silt,Chickpea,38.24,30.81,31.51,Urea
29.89,55.39,61.0,Alluvial,Maize,83.45,41.84,53.78,Compost
28.18,68.22,26.19,Clay,Maize,57.27,33.48,49.37,Compost
25.87,65.19,39.18,Sandy,Mustard,33.57,12.76,6.13,NPK 20-20-20
33.61,58.13,24.74,Clay,Chickpea,56.29,38.98,50.37,Compost
29.82,62.15,31.77,Silt,Maize,54.07,26.86,43.3,Compost
26.47,68.4,54.03,Loamy,Chickpea,75.14,28.67,24.28,Compost
22.52,59.72,34.25,Alluvial,Soybean,74.93,45.29,37.72,Compost
37.3,58.64,43.26,Loamy,Mustard,48.08,47.56,31.59,Compost
22.35,66.4,51.92,Alluvial,Potato,71.31,38.81,56.9,Compost
34.71,69.07,33.11,Silt,Maize,57.76,39.8,35.29,Compost
26.56,62.81,43.73,Silt,Maize,52.96,33.58,22.98,Compost
30.37,65.78,38.3,Silt,Soybean,37.49,51.67,31.49,Urea
31.57,51.42,30.0,Sandy,Potato,16.89,15.37,14.2,NPK 20-20-20
32.0,54.59,28.42,Sandy,Soybean,16.83,3.78,13.63,NPK 20-20-20
33.05,61.71,48.15,Silt,Maize,30.99,52.47,51.84,Urea
35.16,49.98,30.58,Alluvial,Maize,63.11,72.76,62.79,Compost
32.78,58.65,46.95,Alluvial,Maize,72.64,43.24,63.46,Compost
30.81,63.08,26.05,Silt,Wheat,47.67,51.53,45.56,Compost
32.64,54.37,32.11,Silt,Vegetables,42.26,41.77,26.03,Compost
27.84,61.23,48.54,Silt,Rice,46.75,64.14,48.66,Compost
25.63,63.79,36.48,Loamy,Rice,55.15,35.77,28.19,Compost
24.61,66.9,55.09,Clay,Maize,48.62,49.61,45.04,Compost
36.19,63.31,32.78,Clay,Rice,65.64,57.81,44.88,Compost
30.02,56.56,53.79,Sandy,Vegetables,5.56,17.71,7.62,NPK 20-20-20
31.43,53.8,39.83,Clay,Mustard,54.34,45.05,57.39,Compost
27.49,60.67,40.53,Clay,Chickpea,48.32,40.42,55.97,Compost
33.14,70.22,48.05,Sandy,Potato,25.54,10.1,14.88,NPK 20-20-20
31.39,60.19,53.78,Silt,Mustard,52.49,37.96,51.26,Compost
30.85,54.36,27.12,Silt,Soybean,72.13,44.56,40.3,Compost
28.09,60.33,42.05,Alluvial,Vegetables,73.71,55.94,36.69,Compost
35.96,64.29,50.76,Silt,Chickpea,50.08,32.52,44.57,Compost
29.47,59.13,51.79,Alluvial,Chickpea,53.43,63.68,53.72,Compost
24.56,56.51,43.75,Sandy,Lentil,17.06,10.64,19.19,NPK 20-20-20
27.8,58.06,28.51,Loamy,Wheat,26.74,49.13,40.36,Urea
36.48,66.97,49.39,Loamy,Potato,30.47,40.97,50.9,Urea
29.2,59.89,57.3,Clay,Mustard,51.97,48.58,46.67,Compost
37.11,52.35,46.38,Clay,Mustard,64.05,43.87,39.24,Compost
