soil_moisture,temperature,humidity,ph,rainfall_mm,ET0,ETc,vpd_proxy,depletion,crop_type_enc,growth_stage_enc,irrigation_label
45.0,27.28,11.72,6.01,77.55,0.5,0.661,24.083,35.88,3,3,2
60.0,17.46,29.29,6.25,20.39,0.5,0.489,12.346,35.76,8,2,1
15.0,32.57,4.31,6.08,114.54,0.5,0.55,31.166,55.7,6,0,3
23.0,35.12,1.12,6.86,74.62,0.5,0.525,34.727,58.33,2,0,3
79.0,34.0,3.35,5.61,129.2,0.5,0.48,32.861,0.0,5,1,0
81.0,32.06,0.89,6.6,73.38,0.5,0.632,31.775,0.93,6,3,0
37.0,19.38,23.28,6.48,89.59,0.5,0.446,14.868,40.12,7,2,2
21.0,24.4,13.58,6.28,64.26,0.5,0.604,21.086,63.3,4,3,3
9.0,30.56,5.71,6.77,57.45,0.5,0.446,28.815,76.73,2,2,4
16.0,29.15,5.75,5.83,224.83,0.5,0.42,27.474,24.83,2,1,1
75.0,24.02,14.79,7.1,76.78,0.5,0.69,20.467,6.16,5,3,0
77.0,20.6,21.56,6.16,25.13,0.5,0.42,16.159,17.32,2,1,1
62.0,17.67,16.56,5.57,145.54,0.5,0.48,14.744,0.22,5,1,1
70.0,32.02,3.82,6.2,72.33,0.5,0.517,30.797,11.92,0,3,0
78.0,24.91,17.3,7.33,73.64,0.5,0.383,20.601,3.23,0,2,0
31.0,30.02,5.92,6.16,74.46,0.5,0.525,28.243,50.37,4,0,3
30.0,31.63,2.5,6.97,116.81,0.5,0.446,30.839,39.83,7,2,2
15.0,27.2,6.12,6.47,106.36,0.5,0.44,25.535,57.61,6,1,3
90.0,21.13,22.12,5.71,87.88,0.5,0.517,16.456,0.0,0,3,0
65.0,31.22,3.02,7.81,114.67,0.5,0.69,30.277,6.01,5,3,0
34.0,31.16,3.92,6.02,69.92,0.5,0.46,29.939,48.42,8,1,2
62.0,33.77,3.66,4.67,101.61,0.5,0.383,32.534,11.74,0,2,1
71.0,22.57,16.23,6.09,21.26,0.5,0.525,18.907,24.62,7,0,1
24.0,27.38,14.2,5.75,109.22,0.5,0.69,23.492,48.47,5,3,2
6.0,30.96,3.86,6.72,86.76,0.5,0.489,29.765,71.98,3,2,4
86.0,25.02,9.13,6.35,47.9,0.5,0.383,22.736,2.13,0,2,0
