N,P,K,pH,Moisture,Fertility
89.78,44.46,71.82,6.85,59.49,High
40.82,25.18,30.29,5.5,53.18,Medium
25.61,11.3,8.0,3.5,17.71,Low
95.88,51.15,57.17,6.88,80.44,High
56.37,38.93,35.84,6.28,37.85,Medium
13.94,9.2,14.17,4.91,22.43,Low
23.32,11.02,14.25,4.85,28.94,Low
89.53,43.29,45.41,6.94,88.25,High
30.1,18.68,12.84,5.67,30.55,Low
69.92,57.7,55.7,6.73,52.88,High
90.85,44.81,48.22,6.05,70.42,High
22.85,13.71,17.0,3.66,18.29,Low
42.66,41.06,27.19,5.81,34.82,Medium
33.7,27.76,36.69,6.26,56.63,Medium
73.77,55.85,62.86,6.44,63.37,High
33.31,16.98,1.34,5.13,31.89,Low
51.84,38.7,32.49,5.5,64.23,Medium
63.08,53.18,35.33,6.85,41.57,Medium
29.99,5.79,2.47,4.46,20.9,Low
26.23,14.87,12.2,5.27,23.81,Low
80.0,15.0,24.14,6.67,36.08,Medium
22.01,13.59,4.98,4.84,17.23,Low
25.7,10.4,4.87,4.95,29.6,Low
13.47,5.06,8.07,6.0,19.51,Low
41.13,33.39,21.25,7.08,35.36,Medium
29.85,19.41,14.9,5.19,25.26,Low
92.99,57.6,45.78,6.52,59.94,High
49.02,24.75,27.14,5.87,45.95,Medium
88.38,42.81,77.51,6.27,50.26,High
67.72,28.86,23.76,7.06,70.0,Medium
71.34,38.63,65.62,6.73,67.54,High
47.63,17.38,18.1,6.92,27.76,Medium
2.52,17.61,16.0,6.0,15.38,Low
100.58,70.58,52.16,7.46,65.43,High
80.7,44.07,61.26,6.48,76.98,High
92.6,49.62,45.63,6.25,67.97,High
99.84,47.05,50.12,6.69,53.28,High
78.3,59.55,64.03,6.52,56.44,High
23.43,0.84,12.77,5.17,19.56,Low
70.13,63.14,58.23,6.49,60.45,High
45.15,10.35,10.52,5.58,30.71,Low
35.99,17.5,10.51,4.7,15.87,Low
28.98,16.53,10.27,5.71,29.28,Low
71.43,68.4,45.11,7.2,71.14,High
78.06,58.79,73.84,6.92,56.28,High
31.38,27.79,43.68,6.56,58.41,Medium
26.87,2.48,10.69,3.78,36.86,Low
35.96,42.28,17.97,7.5,55.95,Medium
103.19,43.5,59.62,6.43,68.01,High
90.84,40.64,87.48,7.33,67.89,High
59.14,17.02,25.38,5.5,51.52,Medium
42.69,12.1,7.18,5.51,22.62,Low
77.19,63.23,59.66,6.79,68.99,High
71.68,42.69,49.78,6.97,60.35,High
30.0,26.28,25.6,6.53,44.96,Medium
53.04,17.99,49.59,6.13,56.13,Medium
40.21,15.0,26.18,6.45,55.87,Medium
110.36,50.7,39.31,6.98,62.74,High
59.51,38.56,17.33,7.39,48.27,Medium
30.03,18.92,2.85,4.88,15.81,Low
48.25,44.57,55.0,6.1,40.33,Medium
55.19,27.57,23.43,6.37,58.65,Medium
30.73,8.82,8.66,4.86,5.0,Low
22.55,8.59,6.46,5.07,29.52,Low
80.0,20.14,29.0,5.81,37.43,Medium
31.44,43.07,17.01,6.29,55.1,Medium
26.05,6.68,11.08,4.71,17.94,Low
27.16,15.87,17.45,5.35,34.44,Low
65.15,26.4,15.0,6.91,60.1,Medium
21.17,13.48,9.0,5.55,30.9,Low
52.92,38.51,50.04,6.76,44.77,Medium
42.9,45.37,21.2,5.92,49.2,Medium
104.96,49.63,58.38,6.13,54.19,High
45.96,20.07,18.26,5.5,41.66,Medium
57.52,29.75,38.89,6.31,43.46,Medium
37.56,47.87,46.94,6.32,39.76,Medium
4.4,6.8,15.94,6.0,13.52,Low
53.85,33.96,43.84,5.99,56.79,Medium
4.11,10.01,2.9,3.56,14.02,Low
25.22,20.89,0.0,5.15,20.96,Low
36.48,39.86,19.0,5.61,54.96,Medium
33.66,12.87,18.04,5.43,5.0,Low
35.17,16.64,11.31,4.63,30.54,Low
52.99,25.8,41.86,5.51,53.6,Medium
30.49,2.37,6.53,4.34,19.93,Low
85.59,87.56,67.18,6.22,60.7,High
72.24,69.33,30.0,7.69,71.98,High
39.83,16.78,18.98,5.87,38.04,Low
4.84,12.2,9.1,4.08,18.15,Low
90.52,50.69,66.72,6.77,51.01,High
52.12,21.87,37.39,5.5,26.82,Medium
75.85,56.85,73.07,6.76,62.86,High
91.92,49.0,69.83,6.22,63.14,High
12.19,5.27,7.07,4.12,36.69,Low
31.22,27.09,27.88,6.23,36.27,Medium
43.08,26.7,27.15,6.79,43.04,Medium
28.84,18.61,14.8,4.65,12.21,Low
75.77,49.44,56.04,7.3,68.66,High
43.13,36.06,15.68,5.93,45.97,Medium
38.53,45.63,34.78,6.1,38.42,Medium
38.7,27.04,35.36,6.66,55.02,Medium
55.37,15.43,38.02,5.97,25.0,Medium
76.15,55.78,65.23,6.45,51.33,High
48.28,30.96,35.71,5.56,55.35,Medium
50.26,20.19,4.2,4.86,17.67,Low
31.76,15.0,34.7,5.8,25.0,Medium
17.17,12.38,15.72,5.69,38.23,Low
26.4,4.55,6.77,6.0,21.26,Low
46.77,24.48,23.41,6.07,60.07,Medium
54.6,27.32,39.59,6.35,25.0,Medium
67.15,22.45,32.39,6.45,67.12,Medium
71.5,44.8,18.91,6.54,39.77,Medium
36.32,17.53,33.95,6.11,64.76,Medium
60.36,64.23,53.7,6.5,68.58,High
37.57,10.9,5.44,5.5,19.36,Low
68.33,30.64,50.57,6.84,52.33,Medium
111.06,67.21,56.38,7.62,51.59,High
95.55,64.97,43.56,6.41,55.1,High
19.12,16.03,9.99,5.04,19.23,Low
64.48,34.26,44.41,7.32,33.31,Medium
64.47,31.88,39.95,7.39,33.81,Medium
33.51,13.43,21.98,5.28,38.79,Low
31.73,0.0,11.25,4.54,17.43,Low
71.92,57.23,46.25,7.35,55.89,High
65.62,60.44,72.67,6.17,68.58,High
97.66,62.0,51.93,6.86,71.31,High
37.18,17.34,12.82,4.28,30.87,Low
49.88,25.7,39.32,6.58,39.89,Medium
84.22,45.7,32.44,6.64,61.03,High
55.72,28.59,31.13,5.83,63.12,Medium
98.83,75.56,42.95,7.04,51.78,High
93.59,44.49,84.17,7.21,55.09,High
84.08,60.06,69.1,6.63,45.0,High
70.13,56.96,48.79,6.84,56.69,High
20.8,12.61,17.32,5.7,34.17,Low
50.15,28.46,15.0,5.96,58.87,Medium
103.29,42.1,69.33,7.26,66.5,High
32.2,18.19,17.25,4.82,28.61,Low
48.62,19.23,36.63,6.31,51.27,Medium
15.15,5.32,3.21,5.41,28.92,Low
102.25,43.68,35.61,6.43,75.45,High
53.54,31.4,29.94,5.56,43.72,Medium
33.61,5.81,6.16,5.27,27.06,Low
23.72,7.59,8.29,4.58,6.95,Low
59.36,22.4,27.99,6.16,57.34,Medium
15.41,3.6,6.24,5.6,28.02,Low
66.02,23.17,36.55,5.82,51.85,Medium
96.23,56.44,58.21,6.73,76.5,High
51.26,48.21,22.78,6.21,66.84,Medium
30.49,12.83,12.67,4.51,43.29,Low
51.8,53.19,47.14,6.38,31.7,Medium
46.19,33.38,21.77,5.66,48.71,Medium
24.32,1.8,11.16,5.39,15.12,Low
95.47,47.9,67.81,6.98,47.86,High
44.42,29.72,50.42,6.27,53.38,Medium
33.09,5.51,18.49,5.51,16.4,Low
76.58,18.57,42.51,6.28,47.15,Medium
69.41,64.85,46.53,6.0,60.46,High
103.68,58.78,55.03,6.78,60.55,High
72.35,54.06,32.1,6.6,46.76,Medium
66.77,60.23,55.84,7.25,67.13,High
87.41,41.81,39.46,6.59,46.2,High
91.19,46.54,78.63,6.48,45.32,High
21.19,5.57,16.6,5.86,25.0,Low
53.1,31.53,16.62,5.95,60.92,Medium
71.48,59.31,48.25,6.97,49.15,High
61.92,72.64,90.93,6.56,55.7,High
57.13,29.87,35.46,6.77,54.94,Medium
42.72,13.27,11.97,4.48,5.0,Low
48.05,38.95,25.62,5.98,30.12,Medium
99.96,45.7,43.07,6.95,62.44,High
31.05,21.84,17.75,6.1,34.23,Medium
61.11,45.69,30.74,6.55,70.0,Medium
54.57,33.71,33.76,7.22,49.33,Medium
29.29,7.77,4.28,4.3,27.22,Low
56.79,22.95,22.92,5.99,43.65,Medium
9.27,5.56,14.84,5.82,19.12,Low
60.21,37.9,29.76,6.98,70.0,Medium
73.8,60.41,53.69,6.58,66.7,High
8.78,19.8,16.77,4.31,37.35,Low
108.06,62.97,61.34,7.98,57.22,High
67.94,33.19,33.4,6.86,42.23,Medium
66.28,23.09,39.57,5.73,42.42,Medium
37.62,7.07,7.33,4.42,25.68,Low
48.41,41.28,40.85,5.98,51.54,Medium
15.09,7.96,11.28,5.11,20.11,Low
19.01,12.73,8.32,4.85,38.86,Low
99.43,45.7,62.52,6.91,67.23,High
15.03,9.43,0.0,5.49,18.64,Low
24.44,12.77,0.0,4.39,15.87,Low
59.52,35.98,25.42,6.71,52.3,Medium
67.14,46.13,17.24,5.54,57.16,Medium
27.97,2.04,0.0,4.73,29.18,Low
103.4,68.35,59.19,6.95,60.44,High
57.64,40.23,15.0,6.31,66.67,Medium
118.73,30.0,60.09,6.6,59.54,High
26.07,17.07,4.57,4.48,34.42,Low
39.85,40.73,15.0,6.06,64.66,Medium
33.99,26.0,42.0,6.5,45.15,Medium
84.2,66.46,48.69,6.51,87.26,High
111.63,59.27,57.99,6.17,53.06,High
104.27,50.78,58.45,7.67,61.03,High
23.0,8.34,6.51,3.5,23.85,Low
88.53,46.09,59.06,6.61,71.23,High
13.3,19.54,4.24,5.32,31.95,Low
31.98,38.0,38.08,6.36,64.0,Medium
30.84,14.22,11.51,5.22,15.47,Low
60.0,69.53,57.61,6.28,63.65,High
96.71,78.5,30.79,7.07,62.44,High
60.52,48.54,15.0,5.73,37.41,Medium
52.2,34.34,34.91,6.89,51.87,Medium
91.45,74.23,53.29,6.93,68.05,High
58.79,28.09,48.47,5.52,39.21,Medium
24.17,8.68,9.51,4.0,29.46,Low
11.02,7.37,10.6,4.87,25.06,Low
53.8,40.2,34.86,5.67,47.19,Medium
56.31,27.71,29.22,6.45,44.95,Medium
51.94,32.1,18.34,6.43,68.35,Medium
40.77,55.0,41.68,6.21,47.98,Medium
39.89,22.93,36.96,6.45,67.72,Medium
97.12,60.39,57.54,6.89,69.12,High
145.31,57.19,56.82,6.16,47.57,High
98.59,31.69,64.16,6.36,57.0,High
23.63,20.47,19.11,4.7,37.55,Low
76.22,23.76,34.08,5.97,49.18,Medium
116.18,35.57,44.87,6.57,58.15,High
27.99,6.2,11.28,3.91,26.35,Low
95.85,64.96,72.05,6.0,56.34,High
31.64,28.31,28.81,6.89,52.87,Medium
106.92,71.18,68.85,6.91,57.4,High
99.71,47.48,62.22,6.62,53.88,High
59.8,41.45,19.99,6.2,58.46,Medium
16.15,18.03,6.71,5.26,16.06,Low
59.91,18.95,34.36,5.5,62.76,Medium
14.76,9.97,19.59,4.22,20.06,Low
22.47,11.6,7.47,5.08,28.56,Low
39.99,7.73,8.39,4.63,36.5,Low
18.8,17.4,5.64,5.17,24.83,Low
27.61,10.55,16.22,4.51,8.18,Low
60.84,40.43,30.18,6.68,53.09,Medium
96.49,55.38,50.46,7.15,78.88,High
111.16,46.49,52.97,7.11,65.18,High
22.26,15.05,12.94,4.21,21.68,Low
19.64,19.9,10.91,5.03,22.18,Low
12.78,7.17,0.66,4.42,42.12,Low
64.49,23.27,28.78,5.5,27.19,Medium
18.01,9.38,15.02,3.5,31.53,Low
52.0,38.42,20.58,6.85,48.76,Medium
30.0,15.0,22.77,6.51,35.23,Medium
92.65,53.23,41.1,6.84,65.1,High
68.38,78.92,61.92,6.0,47.63,High
34.8,16.53,0.0,3.94,7.75,Low
32.2,24.33,27.19,6.2,45.61,Medium
46.68,29.47,34.27,6.27,55.36,Medium
25.11,13.99,13.41,3.5,29.28,Low
39.54,34.78,33.21,6.1,46.21,Medium
58.41,33.6,30.32,6.17,43.58,Medium
27.31,6.16,18.79,5.19,13.15,Low
21.87,15.67,1.03,5.37,16.45,Low
30.04,14.65,10.47,4.66,16.85,Low
34.03,25.73,22.74,6.28,34.88,Medium
57.15,39.85,41.91,6.21,54.1,Medium
96.28,73.07,50.37,6.08,68.27,High
37.02,36.34,34.88,6.38,37.44,Medium
57.83,29.09,44.94,6.62,25.0,Medium
100.15,57.75,86.91,7.21,49.39,High
70.35,44.58,25.15,7.06,50.58,Medium
69.71,61.15,55.22,7.12,63.26,High
64.26,37.27,23.12,6.09,38.98,Medium
58.38,34.68,43.83,6.84,50.15,Medium
30.6,10.67,13.08,5.7,17.91,Low
53.71,31.14,44.24,5.71,46.47,Medium
68.53,57.27,51.11,6.7,60.52,High
27.09,17.0,18.95,5.21,12.63,Low
3.73,3.98,21.76,5.61,39.3,Low
44.08,24.07,12.71,4.42,24.2,Low
64.54,47.07,42.84,6.56,66.47,Medium
47.21,16.73,18.23,6.18,49.45,Medium
73.11,19.91,15.0,6.62,61.63,Medium
34.25,28.58,24.21,6.55,25.0,Medium
55.82,15.79,25.0,5.62,38.71,Medium
32.06,27.47,46.08,6.7,49.07,Medium
100.11,50.55,58.91,7.17,67.83,High
5.45,19.31,14.58,4.7,19.25,Low
60.08,37.02,25.69,6.75,52.27,Medium
41.67,15.0,28.3,6.58,57.36,Medium
26.9,12.61,2.33,3.91,25.49,Low
32.25,17.93,15.23,4.47,10.41,Low
43.39,34.02,55.0,6.3,51.06,Medium
69.28,24.2,34.92,6.11,45.63,Medium
43.05,35.73,40.02,5.73,54.25,Medium
86.82,52.82,48.34,7.63,64.1,High
49.58,18.49,25.55,5.55,25.0,Medium
46.58,19.35,42.47,6.94,54.77,Medium
29.61,18.99,11.35,5.08,16.23,Low
69.18,61.05,30.0,6.69,61.9,High
57.81,30.08,31.63,6.89,27.51,Medium
8.59,8.15,2.77,4.88,40.36,Low
104.68,60.7,62.1,7.23,57.4,High
31.97,14.78,10.78,4.49,32.22,Low
50.04,16.09,17.1,6.08,70.0,Medium
84.19,40.22,43.4,6.35,62.07,High
36.19,7.97,23.78,5.09,29.43,Low
43.74,46.2,39.76,7.01,42.65,Medium
33.52,16.42,19.32,4.83,20.59,Low
16.06,10.1,20.31,5.81,30.17,Low
61.86,22.97,39.26,7.0,59.12,Medium
20.79,25.67,11.23,4.88,24.14,Low
60.0,75.4,52.13,7.95,60.5,High
22.53,22.31,17.14,4.4,5.54,Low
50.36,39.21,15.0,6.13,41.78,Medium
30.11,41.09,48.18,6.43,46.8,Medium
41.91,24.73,15.0,7.0,31.34,Medium
18.48,12.7,1.48,5.22,24.01,Low
56.47,23.65,26.68,6.81,39.03,Medium
103.94,52.49,47.75,6.47,59.68,High
20.14,0.63,14.48,5.36,20.41,Low
66.38,38.98,27.08,6.9,60.36,Medium
19.23,17.25,16.01,5.4,27.82,Low
99.89,68.61,72.84,7.37,54.53,High
19.67,8.89,9.04,3.9,30.12,Low
93.59,55.49,60.2,7.25,63.43,High
104.81,60.3,65.72,6.11,79.53,High
36.45,22.58,48.64,6.04,68.11,Medium
27.12,12.26,8.46,5.75,12.7,Low
75.5,40.22,67.29,7.13,78.68,High
13.15,10.87,5.9,5.63,18.86,Low
33.72,10.08,2.72,4.53,32.73,Low
72.49,64.21,42.64,6.92,70.1,High
44.89,15.59,29.12,6.62,53.53,Medium
52.2,26.77,20.55,6.3,43.54,Medium
83.34,66.79,58.51,7.71,56.99,High
23.15,20.48,16.2,5.6,34.45,Low
54.3,38.04,31.28,6.37,25.0,Medium
51.16,29.95,31.64,6.45,34.14,Medium
17.45,8.79,12.91,4.61,15.52,Low
34.35,14.0,13.52,4.96,33.61,Low
24.12,0.45,21.21,4.23,25.72,Low
28.17,8.0,13.38,5.26,14.52,Low
26.02,5.08,2.45,5.99,8.57,Low
57.4,21.37,31.1,7.02,65.17,Medium
105.21,37.13,61.71,6.84,62.91,High
44.74,28.45,30.92,5.67,48.79,Medium
60.79,43.02,47.44,5.81,27.31,Medium
96.27,60.65,48.43,6.02,45.0,High
54.67,25.56,31.29,7.25,55.53,Medium
45.53,18.43,19.4,3.68,31.66,Low
18.89,10.89,16.05,5.47,28.6,Low
35.59,39.33,46.68,6.43,44.33,Medium
18.01,0.68,11.34,5.26,40.38,Low
57.21,19.97,20.04,6.5,61.59,Medium
27.45,8.47,1.98,5.46,31.92,Low
77.14,51.32,68.99,7.23,83.11,High
27.89,6.39,8.98,5.12,30.3,Low
69.7,16.97,32.92,6.61,56.3,Medium
26.45,13.09,9.66,4.74,39.96,Low
21.6,13.32,10.87,5.12,9.49,Low
82.64,36.97,30.42,6.88,55.35,High
19.42,10.65,5.65,4.83,20.89,Low
40.99,36.41,22.42,7.4,43.09,Medium
31.31,17.81,15.0,6.04,40.5,Medium
51.61,18.97,15.0,5.76,60.8,Medium
59.91,35.48,40.18,5.5,51.97,Medium
30.58,22.15,7.33,5.92,5.0,Low
2.41,7.38,4.4,4.15,17.65,Low
14.2,10.93,14.41,5.85,21.29,Low
19.46,0.48,14.88,5.5,13.95,Low
117.68,66.95,53.6,6.6,55.2,High
57.35,21.66,24.87,7.21,63.7,Medium
46.53,28.8,25.45,5.93,58.98,Medium
20.27,18.34,13.42,5.71,17.09,Low
88.21,72.65,38.46,6.5,61.04,High
41.72,22.23,37.54,5.5,38.68,Medium
50.32,32.18,15.0,6.93,57.04,Medium
25.75,11.5,3.73,4.89,8.56,Low
56.3,36.28,36.95,6.36,55.0,Medium
45.8,23.93,24.07,6.87,54.34,Medium
67.42,18.9,15.0,5.99,45.26,Medium
48.37,43.87,24.11,5.8,47.05,Medium
30.0,33.28,30.6,6.22,48.44,Medium
30.7,15.42,14.14,4.97,27.03,Low
92.89,47.78,41.73,7.04,72.45,High
58.67,23.56,30.11,5.72,55.0,Medium
39.96,11.34,15.22,4.56,29.47,Low
28.29,19.11,12.31,5.01,16.97,Low
81.61,60.07,56.29,6.99,60.68,High
102.58,65.31,45.33,8.0,62.62,High
63.33,35.44,38.85,6.19,41.83,Medium
74.72,15.0,31.45,5.5,31.3,Medium
31.32,17.64,1.9,5.39,21.86,Low
42.45,29.45,27.18,5.96,44.4,Medium
104.27,34.68,50.12,6.98,54.13,High
58.95,15.0,40.69,6.64,65.7,Medium
117.88,68.88,60.73,7.51,62.75,High
40.7,34.7,21.79,5.69,59.17,Medium
98.73,57.54,70.46,7.01,45.0,High
28.75,8.92,4.25,4.38,26.72,Low
90.71,49.46,59.62,7.98,56.15,High
83.66,62.85,64.25,7.22,48.56,High
51.97,33.47,15.0,6.61,48.34,Medium
88.16,72.3,34.11,6.3,62.63,High
41.98,13.03,9.63,4.82,27.93,Low
63.09,43.81,20.12,6.07,57.47,Medium
47.02,31.12,33.86,7.12,61.83,Medium
65.35,60.16,44.91,7.8,61.91,High
108.94,37.99,46.73,6.4,74.38,High
89.02,49.28,59.48,7.14,45.0,High
23.55,7.73,5.04,5.29,34.97,Low
109.06,47.09,60.13,6.56,63.24,High
44.25,40.34,24.71,6.31,47.61,Medium
44.94,15.84,27.63,5.5,46.53,Medium
30.45,3.03,19.24,5.08,32.63,Low
72.32,31.3,25.31,6.07,27.46,Medium
85.01,49.56,49.34,7.0,66.53,High
46.48,43.22,21.62,6.77,50.24,Medium
46.98,9.02,14.16,5.5,13.94,Low
26.55,12.16,19.83,5.06,25.87,Low
41.19,38.68,32.09,6.61,50.14,Medium
35.6,20.58,13.42,4.02,20.3,Low
66.78,15.0,29.36,5.93,66.33,Medium
54.14,33.31,26.97,5.5,42.22,Medium
49.71,32.65,17.72,6.46,64.13,Medium
53.12,30.51,28.49,6.22,47.71,Medium
72.78,39.6,58.01,6.87,67.18,High
36.13,5.71,7.83,5.18,13.85,Low
92.24,59.98,71.17,6.83,50.08,High
17.35,8.19,7.97,4.5,17.84,Low
56.96,46.05,37.95,7.03,36.11,Medium
40.42,15.0,25.24,6.73,31.32,Medium
43.62,21.09,36.08,6.58,41.65,Medium
65.41,20.21,32.39,6.55,42.02,Medium
103.72,61.49,55.56,6.48,52.82,High
69.17,19.59,44.03,6.12,51.29,Medium
96.91,50.67,53.65,6.7,72.95,High
63.87,15.0,15.0,6.6,47.79,Medium
89.19,65.81,38.95,6.46,76.49,High
75.02,45.18,69.17,6.34,65.42,High
19.33,7.71,18.61,4.25,19.57,Low
30.48,0.0,14.48,4.01,24.04,Low
88.78,54.23,51.76,6.95,67.52,High
65.15,62.6,44.28,7.53,58.31,High
52.31,40.65,29.35,7.5,62.14,Medium
38.98,3.82,6.37,5.41,19.86,Low
57.05,35.72,41.64,5.93,39.36,Medium
101.84,69.62,46.49,7.24,52.13,High
78.92,75.61,44.15,7.0,54.86,High
49.36,10.99,14.35,4.31,25.32,Low
55.63,15.0,31.16,6.19,59.44,Medium
14.98,22.2,12.17,4.51,11.66,Low
69.19,37.61,45.24,5.72,51.11,Medium
30.05,6.94,12.45,4.96,39.04,Low
32.58,11.66,6.92,5.66,32.42,Low
41.91,22.51,34.42,6.64,48.18,Medium
68.4,50.74,51.91,5.92,37.39,Medium
25.05,0.0,19.0,4.37,26.3,Low
23.97,11.34,6.63,4.95,26.7,Low
29.6,17.94,13.17,3.55,45.0,Low
91.6,41.37,47.63,6.7,50.09,High
76.2,51.45,61.41,6.04,51.11,High
96.4,44.69,41.84,6.61,61.83,High
25.93,14.06,16.53,4.18,20.12,Low
42.49,14.3,9.6,5.33,37.32,Low
55.41,26.48,25.65,6.72,38.53,Medium
42.18,4.11,11.16,5.96,32.47,Low
34.96,15.18,19.45,4.2,16.59,Low
34.41,15.0,29.4,5.61,56.76,Medium
95.31,32.69,43.24,6.81,75.95,High
28.57,11.73,4.61,5.95,13.98,Low
70.91,53.28,53.86,7.61,70.9,High
78.87,57.87,63.89,7.32,55.16,High
69.13,43.4,37.88,6.09,48.05,Medium
36.98,5.06,1.99,4.7,15.4,Low
14.76,12.86,15.82,3.5,14.8,Low
54.3,9.28,11.46,5.75,27.25,Low
86.43,54.59,64.8,7.42,45.0,High
23.75,20.02,4.17,5.19,28.7,Low
81.32,60.8,56.04,6.0,54.75,High
33.78,18.13,14.78,5.85,8.5,Low
109.89,52.34,52.01,6.0,56.73,High
55.5,32.91,20.05,5.57,58.77,Medium
45.57,25.99,42.66,6.27,53.04,Medium
47.97,29.87,30.53,6.6,44.43,Medium
54.69,15.95,26.98,6.34,40.25,Medium
56.99,19.09,46.61,5.87,55.98,Medium
67.55,23.55,22.83,6.15,44.43,Medium
80.61,60.57,73.05,6.82,45.0,High
30.25,16.77,16.87,4.88,20.74,Low
29.2,17.27,12.52,5.07,16.27,Low
16.49,11.0,18.69,6.0,18.36,Low
34.49,17.65,8.47,4.65,34.64,Low
58.28,36.25,33.14,6.31,32.24,Medium
92.0,45.31,51.0,6.0,56.09,High
51.85,15.0,34.61,6.67,27.03,Medium
32.44,16.84,14.9,4.69,33.59,Low
25.62,18.56,14.75,6.0,29.02,Low
39.11,7.65,9.62,5.25,15.03,Low
80.26,43.71,72.68,6.39,78.73,High
22.03,12.35,20.45,4.62,36.43,Low
33.47,15.93,3.58,4.86,38.28,Low
105.72,54.48,38.08,7.14,67.28,High
19.92,16.45,10.77,5.28,5.0,Low
75.4,38.04,35.32,6.56,40.08,Medium
63.13,21.0,24.1,6.19,47.78,Medium
20.51,10.97,10.0,5.74,38.28,Low
108.2,42.54,67.68,7.54,54.81,High
90.62,64.49,65.36,6.96,46.09,High
56.42,22.09,30.45,5.5,53.14,Medium
51.36,24.74,50.79,6.15,61.62,Medium
19.78,7.84,4.79,4.15,36.49,Low
19.21,7.13,8.05,4.57,22.9,Low
110.79,41.17,70.71,6.91,69.12,High
32.08,9.75,9.21,4.07,15.51,Low
54.41,40.72,23.18,7.5,35.38,Medium
24.65,6.68,4.96,4.89,15.34,Low
10.75,9.62,12.8,6.0,31.58,Low
18.5,15.92,13.77,5.13,32.25,Low
58.83,49.99,30.62,6.14,33.84,Medium
8.87,20.49,13.48,4.89,10.89,Low
40.58,39.53,33.24,6.55,26.07,Medium
31.04,15.0,34.33,6.38,52.32,Medium
84.08,64.27,39.01,7.23,64.88,High
103.89,59.24,37.22,6.01,69.83,High
33.5,20.97,15.0,6.88,54.87,Medium
76.01,57.28,67.09,7.36,73.14,High
44.67,39.68,17.38,6.76,49.54,Medium
26.54,10.86,4.87,5.73,28.54,Low
52.48,36.25,36.83,6.77,28.89,Medium
97.98,56.77,51.46,6.43,63.12,High
7.79,9.87,6.79,5.76,16.35,Low
30.67,12.37,16.0,4.94,28.6,Low
85.8,61.73,54.57,6.4,55.07,High
90.98,52.49,47.92,7.21,74.61,High
61.93,58.91,46.43,7.33,54.38,High
25.62,15.89,13.05,4.72,25.41,Low
119.53,42.73,48.28,6.19,55.84,High
12.76,6.39,17.37,5.73,35.91,Low
42.79,21.28,24.44,6.47,44.93,Medium
75.16,55.16,55.74,6.86,62.6,High
49.61,42.25,37.7,7.01,57.76,Medium
47.64,27.95,25.83,6.4,44.65,Medium
50.23,36.61,15.0,6.62,51.76,Medium
70.6,28.28,15.0,7.03,55.29,Medium
60.94,25.64,15.0,7.17,60.92,Medium
79.34,56.18,52.29,7.02,71.96,High
24.02,17.41,4.99,5.07,11.51,Low
107.95,55.05,72.06,7.51,61.76,High
43.26,15.0,43.73,5.69,45.67,Medium
19.43,5.26,4.49,4.17,30.16,Low
85.32,50.17,54.0,6.15,59.82,High
72.51,45.5,59.91,7.21,61.76,High
97.0,64.61,62.43,6.11,59.19,High
98.58,52.11,60.29,6.72,63.96,High
36.99,38.07,30.53,6.65,39.9,Medium
63.13,24.95,45.85,6.76,44.0,Medium
105.1,55.56,87.75,7.28,49.42,High
48.5,33.47,46.7,7.22,55.42,Medium
51.26,0.0,11.22,5.5,15.18,Low
48.42,43.38,31.32,6.26,61.85,Medium
37.48,13.07,15.74,5.75,23.57,Low
76.02,69.33,45.33,6.66,62.17,High
82.46,56.5,71.74,7.44,64.57,High
60.68,26.3,35.35,5.5,63.99,Medium
78.42,46.16,54.75,7.01,47.46,High
80.15,44.82,56.81,6.85,62.0,High
93.89,45.45,48.35,6.77,65.24,High
88.13,49.26,44.36,6.39,51.22,High
61.25,15.0,23.02,6.17,53.56,Medium
23.38,19.91,17.25,5.16,40.21,Low
84.04,74.25,43.98,6.59,60.39,High
22.28,4.62,14.49,4.22,26.04,Low
67.42,51.45,79.8,6.16,70.19,High
102.62,44.67,36.57,6.0,75.13,High
128.88,30.89,79.41,6.47,63.95,High
52.29,25.54,29.11,6.25,32.38,Medium
43.99,53.46,36.56,7.2,56.65,Medium
109.86,51.2,52.49,6.42,64.52,High
81.33,55.97,45.53,6.79,60.7,High
102.41,74.28,64.82,7.18,60.8,High
38.99,23.03,37.37,5.61,53.36,Medium
67.93,25.35,44.6,6.37,34.86,Medium
49.55,39.78,32.58,6.63,40.14,Medium
112.13,68.47,60.49,7.14,64.92,High
55.86,32.6,39.13,6.46,49.55,Medium
96.23,40.81,70.79,7.24,65.86,High
82.74,59.72,68.81,6.84,54.62,High
