YEAR,MO,DY,T2M,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,LAT,LON
1982,1,1,14.99,8.44,13.66,-260.21,23.22,10.27,4.39,43.12,0,98.95,2.36,4.74,0.36,4.38,3.4,5.67,0.23,5.45,27.63,82.98
1982,1,2,13.5,7.83,11.75,-258.53,21.32,6.7,4.52,47.88,0,98.77,2.04,3.12,0.27,2.86,2.67,4.04,0.3,3.73,27.63,82.98
1982,1,3,14.99,8.72,13.05,-258.4,22.29,7.54,4.64,44.44,0,98.81,1.95,3.42,0.9,2.52,2.65,5.08,1.22,3.87,27.63,82.98
1982,1,4,17.58,10.36,15.78,-258.63,25.31,10.79,4.82,40.06,0,98.97,2.17,2.95,0.23,2.71,3.05,4.95,0.29,4.66,27.63,82.98
1982,1,5,18.37,13.17,17.18,-260.87,25.98,13.69,6.96,52.56,0,98.94,2.77,4.84,0.58,4.26,4.48,6.98,0.86,6.12,27.63,82.98
1982,1,6,17.76,12.71,17.15,-259.77,26.19,12.82,6.65,55.31,0.11,98.97,3.74,5.05,3.05,2,6.47,7.41,4.18,3.23,27.63,82.98
1982,1,7,15.93,10.15,14.9,-261.01,23.47,11.33,5.25,48.12,0.01,99.13,2.48,3.13,1.59,1.55,3.72,6.32,2.28,4.04,27.63,82.98
1982,1,8,16.26,10.45,14.9,-259.6,24.33,10.78,5.37,47.94,0,99.24,1.95,2.48,0.4,2.09,2.7,4.05,0.33,3.73,27.63,82.98
1982,1,9,17.92,11.08,15.9,-261.43,25.01,13.3,5.25,42,1.27,99.01,1.45,2.23,0.22,2.01,1.95,3.55,0.19,3.37,27.63,82.98
1982,1,10,17.14,11.32,16.33,-261.47,23.9,12.23,5.74,48.5,0.74,98.82,2.48,3.34,1.69,1.65,3.76,6.26,2.44,3.83,27.63,82.98
1982,1,11,17.74,12.44,17.42,-260.38,25.64,12.87,6.41,52.62,0.12,98.82,2.45,3.4,1.15,2.26,3.98,6.47,0.98,5.49,27.63,82.98
1982,1,12,16.9,11.29,16.04,-260.14,25.25,12.24,5.8,50.5,0.09,98.94,3.05,5.3,1.51,3.79,4.74,6.4,2.45,3.94,27.63,82.98
1982,1,13,16.04,9.82,15.12,-260.38,24.2,11.43,5,45.5,0,99.01,2.75,4.12,1.23,2.9,4.28,6.18,1.63,4.55,27.63,82.98
1982,1,14,16.05,9.29,15.36,-260.26,24.1,11.21,4.64,42.75,0.02,98.96,2.5,4.07,1.21,2.86,4.09,6.56,1.51,5.05,27.63,82.98
