YEAR,MO,DY,T2M,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,LAT,LON
1982,1,1,14.64,8.42,13.75,-260.11,23.12,10.08,4.52,45.19,0,99.09,2.3,3.97,0.73,3.25,3.41,4.86,0.98,3.88,27.24,84.78
1982,1,2,14.43,8.09,12.97,-258.45,22.66,7.96,4.39,44.31,0,98.93,1.86,2.87,0.99,1.88,2.56,4.05,1.47,2.59,27.24,84.78
1982,1,3,15.55,8.81,14.23,-258.24,23.73,8.83,4.52,42.19,0,98.92,1.88,2.95,1.17,1.78,2.77,4.08,1.09,2.98,27.24,84.78
1982,1,4,17.95,10.44,16.39,-260.19,25.4,12.44,4.76,38.56,0,99.08,2.05,2.82,0.65,2.17,2.95,5.44,0.89,4.55,27.24,84.78
1982,1,5,18.65,12.19,17.76,-258.3,27.47,12.62,5.92,45.62,0,99.02,3.29,6,1.81,4.19,5.21,7.3,2.55,4.75,27.24,84.78
1982,1,6,18.34,13.3,18,-259.17,27.13,13.15,6.96,57,0,99.09,3.41,4.8,2.42,2.38,5.75,6.9,3.86,3.05,27.24,84.78
1982,1,7,16.28,10.03,15.4,-260.24,24.29,11.38,5.07,46.12,0,99.29,2.76,4.2,1.74,2.46,4.16,5.9,2.09,3.81,27.24,84.78
1982,1,8,16.37,9.47,14.9,-259.83,24.65,11.33,4.64,41.31,0,99.34,1.94,2.52,0.41,2.11,2.79,4.23,0.55,3.68,27.24,84.78
1982,1,9,17.33,10.26,15.84,-259.36,25.42,11.63,4.82,40.94,0,99.12,1.82,2.51,0.29,2.22,2.62,4.39,0.39,4,27.24,84.78
1982,1,10,17.48,10.53,16.55,-260.74,25.33,12.92,5,41.75,0.11,98.91,2.11,2.68,1.2,1.47,3.32,5.23,1.32,3.91,27.24,84.78
1982,1,11,17.61,12.01,17.41,-259.09,25.92,11.86,6.1,50.5,0.89,98.92,2.52,3.45,1.18,2.27,4.09,5.79,1.27,4.52,27.24,84.78
1982,1,12,16.86,11.78,16.3,-259.65,25.31,11.81,6.23,54.56,1.76,99.06,3.03,4.9,1.76,3.14,4.71,5.83,2.53,3.29,27.24,84.78
1982,1,13,15.98,10.11,15.42,-259.92,24.23,10.99,5.25,48.44,0,99.12,2.77,3.82,1.67,2.14,4.35,6.35,2.32,4.03,27.24,84.78
1982,1,14,15.77,9.04,15.38,-259.44,24.01,10.29,4.58,42.81,0,99.08,2.49,3.99,1.34,2.65,4.05,6.12,1.83,4.29,27.24,84.78
1982,1,15,15.67,9.26,14.9,-258.53,24.22,9.6,4.76,44.81,0,99.01,2.66,4.19,1.63,2.55,3.94,5.17,2.02,3.15,27.24,84.78
1982,1,16,15.82,8.77,14.47,-259.99,24.14,10.98,4.39,40.62,0,99.09,2.2,3.58,0.44,3.14,3.14,4.74,0.51,4.23,27.24,84.78
