YEAR,MO,DY,T2M,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,LAT,LON
1982,1,1,12.52,5.45,8.98,-263.21,19.12,9.17,3.85,38.69,0,88.63,1.86,5.28,0.3,4.98,2.08,5.48,0.36,5.12,28.12,82.87
1982,1,2,11.7,4.93,8.3,-259.86,19.65,6.36,3.85,40.31,0,88.44,2.2,4.7,0.68,4.02,2.56,4.56,0.3,4.27,28.12,82.87
1982,1,3,13.01,5.9,9.16,-263.16,19.49,9.51,4.03,38.88,0,88.51,1.7,3.94,0.28,3.66,1.91,3.72,0.25,3.48,28.12,82.87
1982,1,4,14.28,7.23,11.12,-262.95,20.69,10.48,4.39,39.38,0,88.78,1.69,3.54,0.47,3.07,1.91,3.45,0.61,2.84,28.12,82.87
1982,1,5,12.63,9.41,10.15,-266.32,16.33,9.5,6.9,66.88,0.02,88.8,2.31,3.56,1.29,2.27,3.07,4,1.96,2.05,28.12,82.87
1982,1,6,13.23,8.37,10.55,-262.39,20.37,9.61,5.68,54.5,0.12,88.75,2.31,4.37,1.22,3.15,2.83,4.44,1.77,2.66,28.12,82.87
1982,1,7,13.14,7.13,9.69,-263.91,19.08,9.84,4.76,45.56,0,88.84,1.82,4.23,0.49,3.73,1.98,3.77,0.6,3.18,28.12,82.87
1982,1,8,13.07,7.26,9.66,-262.86,19.3,9,4.82,46.44,0,88.93,1.83,4.05,0.31,3.73,2.02,3.74,0.39,3.35,28.12,82.87
1982,1,9,13.62,7.51,10.15,-265.54,18.34,10.73,4.82,44.31,0.89,88.8,1.44,3.16,0.08,3.09,1.56,2.92,0.09,2.83,28.12,82.87
1982,1,10,13.15,7.3,11.05,-264.45,18.28,9.58,4.82,46.5,0.31,88.61,2.05,4.05,0.59,3.46,2.45,3.81,0.69,3.13,28.12,82.87
1982,1,11,12.44,7.98,11.46,-261.74,18.8,7.39,5.62,56.31,0.04,88.59,2.26,4.05,1.23,2.83,2.77,4.09,0.88,3.2,28.12,82.87
1982,1,12,12.39,6.85,9.63,-263.34,18.75,8.93,4.76,48.19,0,88.67,2.22,4.98,0.84,4.14,2.59,5.26,0.99,4.27,28.12,82.87
1982,1,13,12.2,5.98,8.98,-263.59,18.05,8.48,4.27,43.56,0,88.74,1.98,4.43,0.47,3.96,2.22,4.27,0.57,3.7,28.12,82.87
1982,1,14,12.15,5.04,9.24,-263.32,18.19,8.37,3.78,38.94,0,88.68,2,4.69,0.1,4.59,2.34,4.82,0.12,4.7,28.12,82.87
1982,1,15,12.87,5.12,9.26,-262.59,19.72,9.15,3.6,35.75,0,88.57,2.2,5.16,0.38,4.78,2.55,5.09,0.65,4.45,28.12,82.87
1982,1,16,12.22,4.76,8.25,-262.93,18.65,8.44,3.54,36.38,0,88.62,1.96,5.09,0.46,4.62,2.18,5.12,0.33,4.8,28.12,82.87
1982,1,17,11.66,4.13,7.7,-264.11,17.45,8.41,3.36,35.44,0,88.69,1.82,4.15,0.62,3.53,1.96,3.73,0.71,3.02,28.12,82.87
1982,1,18,12.45,4.81,8.49,-263.08,18.65,8.59,3.54,35.06,0,88.82,1.81,4.02,0.59,3.44,1.98,3.77,0.76,3.01,28.12,82.87
1982,1,19,12.82,5.41,8.76,-264.61,18.64,10.1,3.72,36.44,0,88.79,1.62,3.69,0.46,3.23,1.73,3.45,0.53,2.91,28.12,82.87
1982,1,20,12.5,5.16,8.52,-263.11,19.22,9.18,3.72,37.12,1.06,88.68,1.85,4.12,0.38,3.74,2.05,4.12,0.41,3.7,28.12,82.87
1982,1,21,12.35,4.44,8.37,-263.55,18.53,8.93,3.36,33.94,0,88.8,1.84,4.53,0.12,4.4,2.1,4.68,0.14,4.54,28.12,82.87
1982,1,22,12.98,5.05,9.35,-262.31,19.59,8.75,3.6,34.56,0.01,88.72,2.37,4.98,0.99,3.98,2.81,5.18,1.27,3.91,28.12,82.87
1982,1,23,12.71,6.9,10.7,-262.35,19.31,8.51,4.7,46.56,0,88.78,2.16,3.54,0.64,2.9,2.68,3.65,0.84,2.82,28.12,82.87
1982,1,24,13.41,7.44,12.32,-260.76,20.18,7.8,4.82,46.56,0.03,89.01,2.41,3.84,0.42,3.43,3.16,4.61,0.47,4.14,28.12,82.87
1982,1,25,11.68,7.95,10.26,-266.1,16.73,9.68,5.98,62.44,17.46,89.2,2.98,7.12,0.35,6.77,3.91,8.22,0.4,7.82,28.12,82.87
1982,1,26,9.2,7.71,8.48,-268.01,11.89,6.75,6.71,82.44,17.39,89.21,2.88,6.3,0.57,5.73,4.2,7.57,0.69,6.89,28.12,82.87
1982,1,27,9.04,6.72,7.37,-264.72,13.44,5.01,5.98,74.56,12.65,89.11,1.73,2.61,0.43,2.19,2.27,3.68,0.51,3.17,28.12,82.87
1982,1,28,10.38,3.65,7.2,-260.06,17.62,4.53,3.54,41.06,0.03,88.88,2.35,3.16,0.71,2.45,2.91,4.2,1.02,3.17,28.12,82.87
1982,1,29,12.01,4.73,9.26,-260.3,19.84,6.99,3.66,38,0,88.92,2.48,4.63,1.05,3.59,3.09,5.3,1.05,4.25,28.12,82.87
1982,1,30,12.54,5.46,9.47,-264.4,18.37,9.62,3.91,38.69,0.55,88.85,1.85,3.98,0.42,3.57,2.21,3.78,0.61,3.17,28.12,82.87
1982,1,31,10.96,6.67,8.96,-265.65,15.37,7.87,5.19,57.62,8.69,88.98,2.05,3.69,0.71,2.98,2.83,4.6,0.85,3.75,28.12,82.87
1982,2,1,9.75,7.59,8.9,-266.18,13.89,6.92,6.41,75.75,2.58,88.83,1.8,3.65,0.84,2.8,2.13,3.43,0.84,2.59,28.12,82.87
1982,2,2,11.3,7.58,10,-263.07,17.48,7.39,5.8,63,0,88.55,2.62,6.13,0.59,5.54,3.11,6.16,0.67,5.5,28.12,82.87
1982,2,3,10.34,7.14,9.11,-266.74,14.43,8.02,5.8,65.94,0.24,88.63,1.39,3.8,0.27,3.53,1.69,3.66,0.46,3.2,28.12,82.87
1982,2,4,10.76,7.01,9.68,-263.26,16.95,7.07,5.49,62.06,0.02,88.57,2.46,4.88,0.93,3.95,2.88,4.77,1.25,3.53,28.12,82.87
1982,2,5,10.05,4.8,8.37,-262.91,16.47,6.23,4.27,50.81,0,88.46,2.62,5.3,0.91,4.4,3.14,5.7,1.01,4.69,28.12,82.87
1982,2,6,10.19,3.47,8.22,-260.63,18.18,5.65,3.48,41,0,88.27,2.94,6.36,0.5,5.85,3.55,6.77,0.8,5.97,28.12,82.87
1982,2,7,10.55,3.73,7.78,-264.16,16.34,7.36,3.48,39.44,0,88.33,2.12,5.3,0.3,4.99,2.41,5.16,0.42,4.73,28.12,82.87
1982,2,8,9.79,4.14,7.83,-261.81,16.65,5.32,3.91,46.94,0,88.23,3.52,8.01,0.74,7.27,4.73,9.34,0.85,8.48,28.12,82.87
1982,2,9,10.73,3.9,7.98,-262.24,17.49,6.58,3.48,39.69,0,88.31,2.24,5.06,0.64,4.42,2.53,4.96,0.62,4.34,28.12,82.87
1982,2,10,11.59,4.36,8.86,-263.64,17.31,7.8,3.54,37.25,0.31,88.57,1.96,5.17,0.42,4.75,2.11,4.64,0.51,4.13,28.12,82.87
1982,2,11,11.58,7.12,9.7,-263.37,17.4,7.62,5.37,55.81,0.17,88.51,2.29,5.79,0.29,5.51,2.85,6.48,0.38,6.11,28.12,82.87
1982,2,12,10.52,7.26,8.85,-265.17,14.86,6.87,5.8,65.62,1.95,88.44,1.88,3.38,0.62,2.74,2.38,3.99,0.86,3.12,28.12,82.87
