YEAR,MO,DY,T2M,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,LAT,LON
1982,1,1,7.24,0.4,3.81,-262.56,14.05,3.46,3.05,38.94,0,79.02,1.81,4.16,0.81,3.35,1.9,3.59,1.03,2.57,27.51,86.18
1982,1,2,6.92,-0.25,3.16,-263.01,13.55,3.41,2.87,37.12,0,78.89,1.7,4.21,0.4,3.81,1.55,3.2,0.44,2.77,27.51,86.18
1982,1,3,7.96,0.43,3.95,-263.81,13.95,4.61,2.99,35.75,0,78.94,1.66,4.01,0.46,3.55,1.52,2.97,0.59,2.38,27.51,86.18
1982,1,4,8.73,2.37,5.91,-262.83,15.09,4.76,3.66,41.69,0,79.16,1.83,3.91,0.79,3.12,1.95,3.46,0.91,2.55,27.51,86.18
1982,1,5,8.87,3.25,6.23,-263.33,15.21,5.38,4.21,47.69,0,79.12,2.43,4.94,1.2,3.73,2.74,4.77,1.44,3.34,27.51,86.18
1982,1,6,7.68,2.12,5.43,-261.36,14.71,2.92,3.97,49.19,0,79.13,2.05,4.09,0.7,3.38,2.16,3.38,0.98,2.4,27.51,86.18
1982,1,7,7.81,1.5,5.15,-261.05,14.93,2.82,3.48,42.75,0,79.25,1.99,4.55,0.21,4.34,1.82,3.44,0.2,3.23,27.51,86.18
1982,1,8,8.55,1.74,4.85,-263.09,14.95,4.88,3.42,39.56,0,79.34,1.83,4.39,0.72,3.67,1.66,3.27,0.73,2.53,27.51,86.18
1982,1,9,8.07,1.09,4.49,-263.47,14.23,4.55,3.23,38.69,0,79.17,1.83,3.98,0.8,3.19,1.77,2.99,0.99,2,27.51,86.18
1982,1,10,7.57,0.86,4.9,-263.38,13.39,3.62,3.23,39.69,0.15,78.97,1.66,3.71,0.43,3.28,1.6,2.87,0.59,2.28,27.51,86.18
1982,1,11,6.4,1.49,4.76,-263.4,12.52,2.77,3.91,51.62,0.56,78.94,1.76,3.63,0.52,3.11,1.8,3.06,0.35,2.71,27.51,86.18
1982,1,12,5.69,0.98,3.76,-262.13,12.34,1.33,3.85,54.31,0.02,79.01,2.2,4.52,0.91,3.61,2.16,3.63,1.16,2.47,27.51,86.18
1982,1,13,6.03,0.26,3.36,-262.44,12.62,1.9,3.3,45.75,0,79.04,2.13,4.78,1.13,3.65,2.12,3.92,1.23,2.7,27.51,86.18
1982,1,14,6.44,-1.13,3.44,-261.94,13.25,2.04,2.69,35.81,0,78.99,1.91,3.77,0.64,3.13,1.89,3.14,0.56,2.58,27.51,86.18
1982,1,15,6.79,0.05,4.01,-263.49,12.9,3.24,2.99,38.88,0,78.97,2.04,4.7,0.56,4.13,1.97,3.74,0.73,3.01,27.51,86.18
1982,1,16,6.35,-0.29,3.23,-261.74,12.87,1.45,2.93,39.38,0,79.01,1.88,4.78,0.48,4.29,1.7,3.69,0.62,3.07,27.51,86.18
1982,1,17,6.57,-0.18,3.16,-263.35,12.86,3.06,2.93,39.44,0,79.04,1.8,4.59,0.16,4.43,1.57,3.35,0.21,3.14,27.51,86.18
1982,1,18,6.82,0.6,3.69,-262.06,13.62,2.54,3.23,42.56,0,79.18,1.8,4.59,0.25,4.34,1.57,3.38,0.32,3.06,27.51,86.18
1982,1,19,6.87,1.19,4.01,-263.21,13.11,3.17,3.54,45.75,0,79.1,1.76,3.99,0.37,3.63,1.67,3.2,0.38,2.82,27.51,86.18
1982,1,20,6.45,0.86,3.4,-261.58,13.15,1.57,3.54,46.62,17.31,79.04,1.83,4.59,0.72,3.87,1.67,3.45,0.88,2.58,27.51,86.18
1982,1,21,5.58,-0.51,1.2,-262.67,12.08,1.59,3.11,44.19,5.68,79.08,1.91,3.57,0.75,2.82,2.05,3.37,0.87,2.5,27.51,86.18
1982,1,22,5.37,-1.7,0.95,-260.17,12.96,-0.02,2.69,38.75,0.15,79.01,2.45,4.45,1.23,3.21,2.71,4.41,1.63,2.77,27.51,86.18
1982,1,23,5.57,-0.72,2.79,-259.67,12.88,-0.6,2.99,42.12,0.01,79.11,2.31,3.85,1.05,2.8,2.57,3.66,1.38,2.28,27.51,86.18
1982,1,24,7.14,0.42,4.87,-261.07,14.11,2.03,3.05,40.06,0,79.33,1.98,3.59,1.05,2.55,2.2,3.47,1.38,2.08,27.51,86.18
1982,1,25,8.66,1.8,6.18,-264.6,14.09,5.55,3.36,39.06,0.41,79.5,1.66,3.42,0.37,3.06,1.73,2.82,0.62,2.2,27.51,86.18
1982,1,26,7.01,2.29,5.4,-265.52,11.78,4.15,4.09,52.56,1.61,79.53,1.79,2.83,0.8,2.03,2.09,3.22,0.88,2.34,27.51,86.18
1982,1,27,4.65,2.78,3.51,-266.36,8.02,1.23,5.31,79.06,31.8,79.35,1.95,2.68,0.7,1.98,2.48,3.14,0.93,2.21,27.51,86.18
1982,1,28,5.37,-0.77,1.17,-261.61,12.05,0.51,3.17,45.62,0.05,79.17,2.14,3.3,0.91,2.39,2.34,3.01,1.13,1.88,27.51,86.18
1982,1,29,4.39,-1.77,0.96,-259.17,12.23,-1.75,2.75,42.75,0,79.22,2.42,3.87,1.2,2.67,2.66,3.73,1.51,2.23,27.51,86.18
1982,1,30,6.04,-0.81,2.53,-259.38,12.77,-1,2.87,38.81,0,79.23,1.84,3.59,0.34,3.24,1.71,2.86,0.35,2.51,27.51,86.18
1982,1,31,6.34,2.26,5.02,-266.05,10.61,3.51,4.39,59.62,1.9,79.26,1.15,2.73,0.45,2.28,1.21,2.04,0.47,1.57,27.51,86.18
1982,2,1,5.12,3.56,4.9,-264.75,9.81,1.4,5.74,83.62,0.7,79.04,1.2,3.07,0.2,2.87,1.05,2.27,0.24,2.03,27.51,86.18
1982,2,2,4.45,0.98,3.38,-259.17,11.67,-2.31,4.33,69,0,78.84,2.55,5.52,0.98,4.54,2.62,5.06,1.09,3.97,27.51,86.18
1982,2,3,4.3,1.23,2.48,-265.09,9.39,1.33,4.46,68.75,0.45,78.9,1.16,3.16,0.27,2.89,1.22,2.68,0.51,2.17,27.51,86.18
1982,2,4,4.36,1.19,2.97,-262.75,10.61,0.21,4.39,68,0,78.81,2.23,4.34,0.9,3.44,2.27,3.7,1.18,2.52,27.51,86.18
1982,2,5,2.97,-1.81,1.43,-261.63,9.46,-2.06,3.17,54.44,0,78.72,2.38,4.91,1.05,3.86,2.53,4.43,1.44,2.98,27.51,86.18
