YEAR,MO,DY,T2M,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,LAT,LON
1982,1,1,8.45,1.86,4.66,-261.66,15.73,4.24,3.36,40.12,0,80.9,2.15,4.23,1.09,3.14,2.44,4.24,1.32,2.92,28.35,82.63
1982,1,2,8.36,1.98,4.62,-260.38,16.42,3.65,3.48,42.06,0,80.78,2.59,4.63,1.34,3.3,3.02,4.76,1.62,3.15,28.35,82.63
1982,1,3,8.32,2.05,4.86,-262.15,14.84,3.84,3.54,42.19,0,80.82,2.03,3.79,0.63,3.16,2.3,3.69,0.72,2.97,28.35,82.63
1982,1,4,9.45,3.38,6.68,-263.03,16.16,6.04,3.91,44,0,81.07,1.67,2.74,0.41,2.33,1.93,2.7,0.47,2.23,28.35,82.63
1982,1,5,7.38,5.94,6.03,-265.47,12.43,4.75,6.59,83.25,0.39,81.09,1.74,2.53,0.15,2.38,2.07,2.72,0.06,2.66,28.35,82.63
1982,1,6,8.01,3.48,5.09,-260.88,15.38,3.11,4.46,56.12,0.09,81.05,2.03,3.73,0.95,2.78,2.17,3.16,0.85,2.31,28.35,82.63
1982,1,7,8.55,2.81,4.83,-260.75,15.85,3.45,3.85,46,0,81.1,1.9,3.82,0.47,3.35,1.95,3.12,0.59,2.53,28.35,82.63
1982,1,8,8.8,3.16,4.98,-262.56,15.34,4.76,3.97,46.44,0.05,81.2,1.88,3.79,0.66,3.13,1.94,3.21,0.77,2.45,28.35,82.63
1982,1,9,8.64,3.11,4.97,-264.89,12.9,4.64,4.03,46.81,1.62,81.04,1.59,2.84,0.62,2.21,1.7,2.91,0.7,2.21,28.35,82.63
1982,1,10,7.13,2.58,5.21,-263.64,12.85,3.34,4.21,55.12,0.39,80.82,2.31,5.02,0.57,4.45,2.72,4.74,0.71,4.03,28.35,82.63
1982,1,11,6.48,3.11,5.68,-261.61,12.97,1.43,4.64,64.94,0.02,80.88,2.16,4.03,0.98,3.05,2.55,3.69,1.25,2.44,28.35,82.63
1982,1,12,6.56,1.99,4.05,-261.84,13.44,2.13,3.91,53.88,0,80.93,2.01,3.99,0.52,3.48,2.14,3.67,0.5,3.17,28.35,82.63
1982,1,13,6.48,1.41,3.8,-262.23,13.18,2.26,3.66,49.69,0,80.95,1.98,3.59,0.79,2.8,2.12,2.99,1.08,1.91,28.35,82.63
1982,1,14,7.03,0.05,4.28,-260.5,14.6,1.95,2.87,38.88,0,80.93,2.1,3.98,0.48,3.5,2.3,3.69,0.65,3.04,28.35,82.63
1982,1,15,7.55,0.69,4.42,-260.6,15.75,3.2,2.99,39.25,0,80.87,2.24,4.41,1.23,3.18,2.48,4.11,1.62,2.49,28.35,82.63
1982,1,16,6.62,0.28,3.22,-261.57,13.86,2.28,2.99,40.75,0,80.9,2.18,4.46,1.11,3.35,2.34,4.08,1.35,2.73,28.35,82.63
1982,1,17,6.71,0.09,2.89,-262.93,12.87,2.65,2.87,38.75,0,80.9,1.83,3.95,0.37,3.59,1.85,3.3,0.45,2.84,28.35,82.63
1982,1,18,7.14,1.19,3.76,-261.27,14.3,2.43,3.3,43.44,0,81.06,1.82,3.61,0.41,3.2,1.91,3.18,0.54,2.64,28.35,82.63
1982,1,19,6.97,1.4,3.61,-262.85,13.27,2.97,3.48,46,0,81.01,1.89,3.59,0.7,2.89,1.98,2.98,0.63,2.34,28.35,82.63
1982,1,20,7.12,0.89,3.68,-261.34,14.26,2.44,3.17,41.75,0.03,80.93,1.92,3.64,0.66,2.98,2.05,3.24,0.72,2.53,28.35,82.63
1982,1,21,6.22,-0.3,3.05,-261.92,12.93,1.69,2.81,39.88,0,81,1.8,3.23,0.98,2.26,1.97,2.72,1.05,1.66,28.35,82.63
