YEAR,MO,DY,T2M,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,LAT,LON
1982,1,1,3.46,-4.33,-0.33,-261.9,10.68,-0.58,2.14,33,0,72.33,2.09,5.12,0.3,4.81,2.2,4.59,0.37,4.22,27.91,85.74
1982,1,2,2.72,-5.13,-0.93,-260.56,10.79,-1.8,2.01,32.62,0,72.18,2.59,5.02,0.94,4.07,2.69,4.31,1.16,3.15,27.91,85.74
1982,1,3,3.3,-4.54,0.08,-259.91,10.9,-2.34,2.14,32.62,0,72.26,2.4,4.69,0.31,4.38,2.46,3.95,0.44,3.5,27.91,85.74
1982,1,4,4.56,-1.6,2.08,-262.13,11.38,0.36,2.93,41.31,0,72.51,1.93,5.18,0.71,4.47,2.07,4.8,0.98,3.82,27.91,85.74
1982,1,5,3.65,-1.32,0.88,-263,10.16,0.01,3.48,51.38,0,72.51,2.09,5.47,0.73,4.75,2.16,4.95,0.97,3.98,27.91,85.74
1982,1,6,2.7,-2.74,-0.09,-260.92,10.13,-2.1,3.05,50.19,0,72.49,2.06,4.89,0.52,4.38,2,3.99,0.67,3.32,27.91,85.74
1982,1,7,2.82,-4.19,0.11,-257.48,11.34,-4.33,2.44,39.31,0,72.54,2.55,4.28,0.98,3.3,2.53,3.64,1.21,2.43,27.91,85.74
1982,1,8,3.6,-3.57,0.19,-260.55,11.45,-1.15,2.44,36.75,0,72.62,2.29,4.53,0.8,3.72,2.25,3.51,0.95,2.55,27.91,85.74
1982,1,9,3.19,-3.85,-0.37,-262.85,9.87,-0.43,2.38,36.69,0,72.49,2.15,4.91,0.56,4.35,2.09,3.98,0.59,3.4,27.91,85.74
1982,1,10,2.76,-3.63,0.3,-262.99,8.82,-1.35,2.5,39.62,0.08,72.32,1.74,5.03,0.1,4.93,1.66,4.12,0.2,3.93,27.91,85.74
1982,1,11,0.76,-3.24,-0.41,-264.31,6.08,-2.76,3.11,57.31,0.19,72.28,1.8,4.11,0.38,3.73,1.7,3.3,0.44,2.87,27.91,85.74
1982,1,12,0.27,-4.01,-1.29,-260.99,7.64,-4.52,2.93,57.12,0,72.3,2.46,5.22,0.35,4.87,2.34,4.15,0.54,3.61,27.91,85.74
1982,1,13,0.98,-4.86,-1.79,-262.03,8.01,-3.1,2.5,46.38,0,72.33,2.26,5.36,0.6,4.76,2.24,4.56,0.78,3.78,27.91,85.74
1982,1,14,1.62,-5.84,-1.13,-260.63,8.87,-3.64,2.01,34.94,0,72.3,2.3,4.93,0.57,4.37,2.36,4.28,0.75,3.53,27.91,85.74
1982,1,15,2.05,-5.05,-0.58,-262.2,9.12,-1.84,2.14,36.12,0,72.28,2.32,5.36,0.43,4.93,2.29,4.38,0.54,3.84,27.91,85.74
1982,1,16,1.12,-6.03,-1.42,-258.98,9.05,-5.12,2.01,36.62,0,72.26,2.59,4.96,0.76,4.2,2.59,4.06,0.97,3.1,27.91,85.74
1982,1,17,1.26,-5.81,-1.7,-261.74,8.58,-2.85,2.08,37.12,0,72.29,2.34,5.05,0.33,4.73,2.3,4.02,0.41,3.59,27.91,85.74
1982,1,18,1.85,-4.81,-0.99,-259.47,9.88,-3.8,2.32,39.44,0,72.41,2.29,5.12,0.58,4.55,2.23,4.09,0.73,3.34,27.91,85.74
1982,1,19,2.23,-3.66,-0.78,-263.34,8.55,-1.27,2.62,43.19,0,72.38,2.04,5.16,0.43,4.74,1.96,4.28,0.65,3.63,27.91,85.74
1982,1,20,1.69,-4.2,-1.28,-259.99,9.63,-3.52,2.62,45.81,13.24,72.3,2.3,5,0.72,4.28,2.24,4.05,0.84,3.2,27.91,85.74
1982,1,21,1,-5.17,-4.66,-262.61,7.3,-3.24,2.38,42.62,9.09,72.38,1.59,3.99,0.66,3.33,1.6,3.45,0.85,2.59,27.91,85.74
1982,1,22,-0.32,-6.89,-5.86,-260.02,7.38,-5.75,2.08,42,0.06,72.36,1.86,4.59,0.6,3.99,1.87,4.22,0.71,3.51,27.91,85.74
1982,1,23,-0.42,-5.17,-2.63,-260.49,6.46,-6.2,2.56,52.25,0.01,72.45,1.62,4.29,0.17,4.12,1.57,3.84,0.16,3.68,27.91,85.74
1982,1,24,1.26,-4.44,-0.34,-261.16,8.14,-3.85,2.44,44.56,0,72.67,1.8,4.15,0.48,3.67,1.82,3.8,0.62,3.19,27.91,85.74
1982,1,25,2.69,-2.81,0.92,-264.95,7.78,-0.42,2.81,45.12,1.24,72.85,1.37,3.27,0.13,3.13,1.36,2.73,0.35,2.38,27.91,85.74
1982,1,26,0.76,-2.17,-0.35,-266.2,5.34,-1.6,3.72,68.69,4.55,72.86,1.88,3.93,0.05,3.88,2.18,3.67,0.14,3.53,27.91,85.74
1982,1,27,-0.72,-1.51,-1.38,-264.09,3.73,-5.34,4.7,94.12,48.49,72.63,1.89,4.48,0.3,4.18,1.95,3.8,0.27,3.53,27.91,85.74
1982,1,28,-1.71,-6.52,-6.61,-260.98,5.17,-7,2.56,57.75,0.05,72.51,1.72,3.9,0.27,3.63,1.65,3.55,0.21,3.34,27.91,85.74
