YEAR,MO,DY,T2M,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,LAT,LON
1982,1,1,13.62,7.05,11.5,-261.17,21.39,9.4,4.21,42.38,0,93.92,2.1,4.58,0.61,3.97,2.73,4.91,0.77,4.14,26.75,86.34
1982,1,2,13.24,6.45,10.94,-260.94,20.48,8.27,4.03,40.94,0,93.77,2.02,4.07,0.88,3.19,2.44,4.09,0.72,3.37,26.75,86.34
1982,1,3,14.11,7.14,11.47,-261.21,21,9.06,4.15,39.75,0.02,93.81,1.84,3.7,0.77,2.93,2.25,3.37,1.04,2.33,26.75,86.34
1982,1,4,15.82,8.74,13.65,-261.11,23.01,10.97,4.64,39.88,0.02,94,1.8,3.51,0.8,2.71,2.2,3.36,1.1,2.27,26.75,86.34
1982,1,5,17.23,10.36,15.05,-261.31,24.87,13.02,5.31,42.06,0,93.9,2.54,5.73,0.44,5.3,3.62,6.71,0.62,6.09,26.75,86.34
1982,1,6,17.07,10.92,15.6,-259.95,25.16,11.98,5.8,46.88,0,93.94,2.8,5.26,1.02,4.23,3.95,5.94,1.44,4.51,26.75,86.34
1982,1,7,15.53,8.51,13.99,-261.35,23.05,11.26,4.52,40.62,0,94.08,2.73,5.04,1.15,3.89,3.7,5.09,1.54,3.55,26.75,86.34
1982,1,8,15.54,8.12,12.98,-261.48,22.87,11.19,4.27,38,0,94.19,2.16,4.31,0.55,3.77,2.68,4.23,0.66,3.58,26.75,86.34
1982,1,9,16.13,8.43,13.01,-262.38,22.94,12.18,4.33,36.38,0,94.01,1.7,3.58,0.53,3.05,1.98,3.19,0.65,2.54,26.75,86.34
1982,1,10,16,8.37,13.52,-262.66,22.44,11.95,4.33,36.81,0.46,93.82,1.89,3.45,0.69,2.76,2.25,3.13,0.9,2.24,26.75,86.34
1982,1,11,16.05,9.6,14.46,-261.24,23.26,11.36,5.19,44.69,1.22,93.78,2.28,3.98,0.48,3.51,3.02,4.98,0.38,4.61,26.75,86.34
1982,1,12,15.25,9.43,13.74,-261.1,22.95,10.9,5.31,48.12,0.17,93.88,2.8,5.27,1.55,3.72,3.7,5.72,2.02,3.7,26.75,86.34
1982,1,13,14.73,8.16,12.91,-261.24,21.94,10.04,4.58,42.75,0,93.95,2.61,5,0.88,4.12,3.44,5.03,1.23,3.8,26.75,86.34
1982,1,14,14.44,7.04,12.78,-260.95,22.01,9.82,4.03,38.38,0,93.9,2.34,4.48,0.63,3.84,3.04,5.31,0.74,4.58,26.75,86.34
1982,1,15,14.87,7.26,12.83,-262.12,22.12,11.08,3.97,36.75,0,93.85,2.27,4.31,0.62,3.7,2.87,4.54,0.9,3.64,26.75,86.34
1982,1,16,14.5,7,12.24,-261.59,21.97,10.4,3.97,37.44,0,93.91,1.98,3.82,0.75,3.07,2.49,3.66,0.91,2.76,26.75,86.34
1982,1,17,14.41,7.02,12.22,-261.62,21.48,9.95,3.97,37.81,0,93.95,2.21,4.07,1.23,2.84,2.73,3.76,1.2,2.55,26.75,86.34
1982,1,18,15.01,7.79,12.79,-261,22.35,10.2,4.27,38.75,0,94.06,2.13,3.95,0.19,3.76,2.68,3.6,0.23,3.38,26.75,86.34
1982,1,19,15.5,8.32,13.13,-261.67,22.92,11.44,4.46,39.06,0,94,2.05,3.91,0.65,3.25,2.53,4.13,0.62,3.52,26.75,86.34
1982,1,20,14.73,8.13,12.3,-260.99,21.84,9.69,4.58,42.5,15,93.91,2.05,3.96,0.27,3.7,2.56,3.69,0.3,3.4,26.75,86.34
1982,1,21,14.54,7.51,12.22,-260.22,22.12,9.19,4.21,40.31,0.8,94.01,2.23,4.66,0.87,3.8,2.82,5.09,1.06,4.02,26.75,86.34
1982,1,22,15.44,7.7,12.84,-260.08,23.58,10.51,4.15,37.12,0.3,93.9,2.87,6.23,0.87,5.36,3.7,7.14,1.25,5.89,26.75,86.34
1982,1,23,16.58,8.68,14.32,-258.67,24.37,9.9,4.46,36.25,0.05,93.95,2.21,3.88,0.91,2.97,2.76,4.05,0.84,3.22,26.75,86.34
1982,1,24,17.96,9.85,16.1,-260.44,25.63,12.92,4.7,36.19,0,94.17,2.21,3.85,0.32,3.53,2.83,4.04,0.49,3.55,26.75,86.34
1982,1,25,17.32,10.15,15.55,-263.19,23.48,13.53,5.13,39.88,0.63,94.37,1.86,2.78,1.14,1.63,2.3,3.16,1.61,1.55,26.75,86.34
1982,1,26,16.86,10.37,14.9,-264.54,22.87,14.27,5.43,43.25,1.31,94.37,1.54,2.52,0.12,2.39,2.11,3.17,0.3,2.87,26.75,86.34
1982,1,27,14.61,11.08,13.37,-264.99,18.46,10.3,7.02,64.38,26.08,94.26,2.33,3.68,0.42,3.26,3.43,5.44,0.74,4.7,26.75,86.34
1982,1,28,15.87,9.12,14.82,-258.81,24.69,10.35,4.94,44.56,0.07,94.01,3.13,5.49,2.18,3.31,4.48,6.02,3.29,2.73,26.75,86.34
1982,1,29,15.39,7.44,13.88,-258.21,24.14,9.2,4.03,36.81,0.01,94.08,3.21,5.62,2.21,3.41,4.52,6.05,3,3.05,26.75,86.34
1982,1,30,15.15,7.35,13.5,-260.74,22.65,10.24,4.03,36.5,0,94.11,2.5,4.76,0.9,3.87,3.38,4.88,1.27,3.62,26.75,86.34
1982,1,31,15.62,9.7,14.73,-263.38,20.87,11.08,5.49,48.5,3.11,94.23,1.24,2.41,0.52,1.89,1.58,3.03,0.71,2.32,26.75,86.34
1982,2,1,14.53,11.48,14.76,-264,19.9,10.76,7.39,68.75,0.88,94.07,1.8,3.27,0.19,3.09,2.39,3.6,0.25,3.36,26.75,86.34
1982,2,2,14.38,10.37,14.27,-260.63,21.42,8.9,6.41,62.06,0,93.74,3.15,5.95,1.2,4.76,4.32,6.5,1.72,4.78,26.75,86.34
1982,2,3,13.45,9.73,12.69,-263.17,20.05,10.06,6.29,63,0.69,93.91,1.72,3.99,0.34,3.66,2.27,3.88,0.38,3.49,26.75,86.34
1982,2,4,13.69,9.59,12.72,-263.45,19.65,9.94,6.04,59.62,0.01,93.82,1.93,4.04,0.2,3.84,2.26,3.71,0.28,3.43,26.75,86.34
1982,2,5,13.5,8.17,12.78,-260.75,20.87,8.47,5.07,51.38,0,93.7,2.97,5.96,1.05,4.92,4.06,6.52,1.27,5.23,26.75,86.34
1982,2,6,12.98,6.55,12.44,-258.96,21.19,7.01,4.15,44.31,0,93.52,3.3,5.77,2.14,3.63,4.56,6.12,3.09,3.04,26.75,86.34
1982,2,7,13.15,7.01,12.46,-260.2,20.52,7.57,4.46,46.06,15.35,93.61,2.34,4.5,0.5,4,2.93,4.73,0.73,4,26.75,86.34
1982,2,8,12.54,7.5,11.76,-262.77,18.83,8.45,4.88,52.5,1.61,93.51,2.58,4.59,0.89,3.7,3.34,5.23,0.97,4.26,26.75,86.34
1982,2,9,12.41,6.09,11.3,-259.95,20.33,7.13,4.03,44.31,0.27,93.6,2.52,4.44,0.39,4.05,3.41,4.45,0.55,3.89,26.75,86.34
1982,2,10,13.4,6.05,11.65,-261.15,20.25,8.25,3.72,37.44,0.64,93.85,1.84,3.7,0.37,3.33,2.11,3.31,0.41,2.9,26.75,86.34
1982,2,11,14.95,7.99,13.8,-260.52,22.46,9.83,4.46,40.75,0.08,93.73,2.29,5.02,0.73,4.29,2.92,5.36,0.95,4.41,26.75,86.34
1982,2,12,15.52,10.01,14.62,-261.2,21.88,9.93,5.68,49.56,0.27,93.65,1.98,2.96,0.89,2.07,2.51,3.32,0.55,2.77,26.75,86.34
1982,2,13,16.69,11.14,15.76,-260.95,24.26,12.05,6.1,51.06,0,93.67,2.75,5.41,0.53,4.88,3.52,5.85,0.72,5.13,26.75,86.34
1982,2,14,16.19,9.74,15.37,-260.25,23.69,10.79,5.19,44.19,0,93.66,3.45,5.91,2.04,3.88,4.77,6.51,3.53,2.97,26.75,86.34
1982,2,15,16.13,9.56,14.98,-261.83,22.61,11.29,5.07,42.94,0,93.71,2.06,4.37,0.13,4.23,2.52,4.12,0.17,3.95,26.75,86.34
1982,2,16,15.8,10.15,15.16,-263.81,21.58,12.23,5.68,48.81,0.56,93.8,2,3.54,0.95,2.6,2.66,4.57,1.28,3.29,26.75,86.34
1982,2,17,16.86,11.23,16.44,-261.86,23.58,12.3,6.1,49.44,0.12,93.64,2.61,5.02,0.65,4.37,3.28,5.28,0.86,4.42,26.75,86.34
1982,2,18,17.46,10.69,16.8,-260.45,25.28,12.58,5.49,42.94,0,93.53,3.37,6.2,1.71,4.48,4.53,6.7,2.18,4.52,26.75,86.34
1982,2,19,17.34,10.1,16.62,-259.21,25.62,11.67,5.07,40.69,0,93.61,3.75,6.99,1.78,5.2,5.27,7.93,2.94,4.99,26.75,86.34
1982,2,20,16.51,8.64,15.05,-260.75,23.94,11.55,4.39,36.88,0,93.86,2.54,4.53,0.92,3.61,3.35,5.12,1.34,3.8,26.75,86.34
1982,2,21,17.4,9.32,15.78,-259.45,25.33,11.63,4.58,36.12,1.34,93.84,2.84,5.41,0.56,4.85,3.63,5.84,0.6,5.24,26.75,86.34
1982,2,22,17.53,9.16,16.5,-258.99,25.71,11.55,4.39,35.25,0.18,93.71,3.3,5.65,1.56,4.09,4.5,6.42,2.02,4.4,26.75,86.34
1982,2,23,17.42,9.66,16.38,-261.78,24.91,13.55,4.76,37.62,0,93.74,2.41,5.93,0.23,5.69,3.12,6.27,0.44,5.83,26.75,86.34
1982,2,24,16.74,8.41,16.19,-260.76,24.2,11.81,4.21,35.62,0,93.61,3.16,5.62,1.74,3.88,4.52,6.38,2.3,4.08,26.75,86.34
1982,2,25,16.15,7.38,14.93,-259.68,23.71,10.24,3.72,32.56,0,93.68,2.48,4.7,0.67,4.03,3.09,4.72,0.62,4.1,26.75,86.34
1982,2,26,17.45,8.62,16.19,-259.61,25.11,11.57,4.03,32.12,0,93.72,2.77,5.7,0.83,4.87,3.39,5.72,0.77,4.95,26.75,86.34
1982,2,27,18.14,9.58,16.94,-259.37,26.18,12.39,4.46,33.88,0.32,93.76,2.82,5.57,1.2,4.38,3.7,5.8,1.17,4.62,26.75,86.34
1982,2,28,19.43,12.39,18.96,-259.7,26.83,13.38,6.04,41.69,0.52,93.68,3.29,7.21,0.18,7.03,4.34,8.35,0.6,7.75,26.75,86.34
1982,3,1,18.37,13.98,18.31,-261.45,24.84,13.15,8.06,59.25,6.56,93.71,2.46,4.23,0.76,3.47,3.39,5.98,1.07,4.91,26.75,86.34
1982,3,2,14.22,12.05,14,-266.63,16.99,10.48,8.3,77.44,1.68,93.98,1.79,3.45,0.39,3.05,2.28,3.45,0.41,3.03,26.75,86.34
1982,3,3,16.26,11.08,16.05,-260.7,23.44,10.99,6.35,53.81,0.13,93.9,3.19,6.31,1.24,5.08,4.33,6.62,1.77,4.84,26.75,86.34
1982,3,4,16.12,10.07,16.34,-259.35,23.8,9.99,5.49,47.62,0.21,93.61,3.62,6.59,1.71,4.87,4.96,6.85,2.46,4.39,26.75,86.34
1982,3,5,14.74,11.06,15.01,-264.31,20.52,11.69,6.96,63.88,12.36,93.7,2.72,6.77,0.27,6.5,3.67,7.34,0.55,6.79,26.75,86.34
1982,3,6,15.27,12.19,16.15,-261.53,21.6,9.99,7.81,70,0.34,93.6,2.15,4.63,0.6,4.03,2.48,4.34,0.81,3.52,26.75,86.34
1982,3,7,16.41,11.45,17.18,-261.81,23.47,12.12,6.65,57.44,0.17,93.69,3.02,6.27,0.7,5.57,4.09,6.91,0.91,6,26.75,86.34
1982,3,8,16.55,8.84,16.23,-257.89,25.32,10.07,4.46,38.94,0,93.69,3.74,7.09,1.87,5.22,5.31,7.71,3.12,4.59,26.75,86.34
1982,3,9,18.07,9.08,16.94,-259.72,25.84,12.41,4.15,31.75,0.04,93.73,2.63,5.17,0.77,4.41,3.2,5.83,1.09,4.74,26.75,86.34
1982,3,10,19.19,10.09,18.13,-259.21,27.49,13.55,4.46,31.69,0.02,93.73,2.84,5.55,1.03,4.52,3.7,5.96,1.47,4.49,26.75,86.34
